! Date: 14/08/2026  Time: 14:39:51  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.42640542E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
   41  1.5265863E+18  2.5430900E-01  1.0204599E+05  4.9472612E-01  3.9248457E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0645492E+01
   42  1.9866892E+18  2.6777278E-01  1.3280197E+05  6.4383328E-01  5.1077682E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0676152E+01
   43  2.6079740E+18  2.7246756E-01  1.7433230E+05  8.4517521E-01  6.7050884E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0705818E+01
   44  3.4213389E+18  2.6777278E-01  2.2870238E+05  1.1087652E+00  8.7962454E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0745131E+01
   45  4.4445548E+18  2.5430900E-01  2.9710014E+05  1.4403623E+00  1.1426928E+03  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0801680E+01
   46  5.6727737E+18  2.3377410E-01  3.7920150E+05  1.8383955E+00  1.4584673E+03  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0888980E+01
   47  7.0733118E+18  2.0852024E-01  4.7282169E+05  2.2922727E+00  1.8185450E+03  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.1015337E+01
   48  8.5881649E+18  1.8103721E-01  5.7408336E+05  2.7831964E+00  2.2080129E+03  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.1192273E+01
   49  1.0144201E+19  1.5351570E-01  6.7809792E+05  3.2874663E+00  2.6080689E+03  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.1435162E+01
   50  1.1667172E+19  1.2759301E-01  7.7990230E+05  3.7810211E+00  2.9996242E+03  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.1785712E+01
