# Injection truth table -- cmf2.00_n600_s2030_iso  seed=2030
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.099 M_sun
# 600 cores assigned to 66 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.099 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.227 versus 1.243, median |log10 ratio| 0.010 dex
# drawn observed size versus node size FWHMSDbs: median 39.2 versus 41.4 arcsec, median |log10 ratio| 0.065 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.10e+21, 95th 1.36e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.81 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.55 +/- 0.17  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  155  i02j07k07       708    235    7.614e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  156  i02j07k07       616    825    4.946e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  157  i02j07k07        53    929    6.419e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  158  i02j07k07        46    547    8.203e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  159  i02j07k07       853    465    5.466e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  160  i02j07k07       598    455    7.947e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  161  i02j07k07       644    750    5.663e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  162  i02j07k07       558    615    5.713e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  163  i02j07k07       910    516    6.188e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  164  i02j07k07       569    417    7.519e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  165  i02j07k07       683    645    8.557e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  166  i02j07k07       565    391    8.032e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  167  i02j07k07       659    314    7.091e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  168  i02j07k07       756    751    5.952e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  169  i02j07k07       155     83    8.724e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  170  i02j07k07       424    248    8.028e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  171  i02j07k07        80    933    6.419e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  172  i02j07k07        59    596    8.662e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  173  i02j07k07       613    251    5.403e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  174  i02j07k07       147     55    7.901e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  175  i02j07k07       724    568    6.971e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  176  i01j06k07       828    358    3.904e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  177  i01j06k07       320    865    4.334e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  178  i01j06k07       405    821    4.186e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  179  i01j06k07       867    917    4.467e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  180  i01j06k07       419    848    4.105e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  181  i01j06k07       701    824    4.229e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
