# Injection truth table -- cmf2.00_n600_s2029_flat  seed=2029
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 355 of 517 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.1 M_sun
# 600 cores assigned to 83 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.1 versus 0.0623 M_sun, median |log10 ratio| 0.191 dex
# drawn contrast versus node contrast at the drawn column: median 1.223 versus 1.236, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 42.0 arcsec, median |log10 ratio| 0.062 dex
# target background column: median 5.06e+21 cm^-2 (5th 3.09e+21, 95th 1.52e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.55 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.15  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  066  i03j09k08       721    556    9.430e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.91  1
  067  i03j09k08        42    739    8.628e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.91  1
  068  i02j07k08       636    850    4.463e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  069  i02j07k08       821    206    4.568e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  070  i02j07k08       143    921    4.329e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  071  i02j07k08       474    735    4.587e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  072  i02j07k08       191    776    4.957e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  073  i02j07k08       569     84    4.550e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  074  i02j07k08       922    618    6.986e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  075  i02j07k08       662    764    4.568e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  076  i02j07k08       739    925    4.898e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  077  i02j07k08       753    230    5.796e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  078  i02j07k08       410    915    4.524e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  079  i02j07k08       730    823    5.749e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  080  i02j07k08       545    934    4.577e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  081  i02j07k08       839    402    5.850e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  082  i02j07k08       562    140    4.467e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  083  i02j07k08       862    879    4.947e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  084  i02j07k08       335    714    4.376e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  085  i02j07k08        92    937    5.587e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  086  i02j07k08       881    923    4.686e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  087  i02j07k08       268    741    5.758e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  088  i02j07k08       937    463    4.517e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  089  i02j07k08       638    238    5.708e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  090  i02j07k08       317    936    4.526e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  091  i02j07k08       787    920    5.693e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  092  i02j07k08       720    695    5.924e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    70.32  1
  093  i01j07k08       786     89    3.318e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  094  i01j07k08       373    794    4.167e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  095  i01j07k08       927    878    4.373e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  096  i01j07k08       190    887    3.954e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  097  i01j07k08       903    220    2.610e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  098  i01j07k08       295    788    4.221e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  099  i01j07k08       634     88    3.818e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  100  i01j07k08       695    857    4.300e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  101  i01j07k08       684    103    3.621e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  102  i01j07k08       444    795    4.380e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  103  i01j07k08       825    273    3.557e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  104  i01j07k08       895     87    2.646e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  105  i01j07k08       893    357    3.402e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
  106  i01j07k08       216    925    3.939e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    70.24  1
