# Injection truth table -- cmf2.00_n600_s2032_flat_iso  seed=2032
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.101 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 67 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.101 versus 0.0643 M_sun, median |log10 ratio| 0.186 dex
# drawn contrast versus node contrast at the drawn column: median 1.218 versus 1.240, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.6 versus 41.7 arcsec, median |log10 ratio| 0.061 dex
# target background column: median 4.88e+21 cm^-2 (5th 3.07e+21, 95th 1.54e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.10  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.17  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  085  i02j07k08       129    792    5.053e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  086  i02j07k08       567    930    4.515e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  087  i01j06k08       906    299    2.933e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  088  i01j06k08       752    308    3.594e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  089  i01j06k08       317    808    4.021e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  090  i01j06k08       834    297    3.543e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  091  i01j06k08       885    158    2.883e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  092  i01j06k08       645    905    3.728e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  093  i01j06k08       700    108    3.569e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  094  i01j06k08       784    337    3.785e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  095  i01j06k08       631     42    3.829e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  096  i01j06k08       590     65    3.984e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  097  i01j06k08       820     82    3.133e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  098  i01j06k08       848    225    3.469e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  099  i01j06k08       906    103    2.697e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  100  i01j06k08       673     53    3.183e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  101  i01j06k08       924     55    2.801e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  102  i01j06k08       446    663    4.212e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  103  i01j06k08       735     46    3.182e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  104  i01j06k08       411    865    4.136e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  105  i01j06k08       937    368    3.617e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  106  i01j06k08       406    785    4.149e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  107  i01j06k08       364    810    4.242e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  108  i01j06k08       934    145    2.874e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  109  i01j06k08       182    937    3.836e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  110  i01j06k08       886    903    4.224e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  111  i01j06k08       932    197    2.842e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  112  i01j06k08       228    937    3.938e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  113  i04j13k06       269    276    4.677e+22    2.400e+22    8.10    9.957e-19  1.3734    67.07    34.57  1
  114  i04j12k03       190    216    2.627e+22    2.400e+22    7.22    1.838e-17  0.8943    62.91    20.19  1
  115  i03j11k07       224    144    1.448e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.97  1
  116  i03j11k07       735    545    1.569e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.97  1
  117  i03j11k07       218    321    1.571e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.97  1
  118  i04j10k07       179    434    1.859e+22    2.400e+22    8.51    1.667e-19  0.3795    31.58    44.57  1
  119  i03j10k07       791    513    1.638e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  120  i03j10k07       559    479    1.367e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  121  i03j10k07       727    509    1.688e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  122  i03j10k07       566    370    1.276e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  123  i03j10k07       593    383    1.253e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  124  i03j10k07       283    380    1.615e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  125  i02j10k07        85    747    7.253e+21    6.000e+21   10.67    1.710e-19  0.3794    30.14    43.84  1
  126  i04j09k07       216    536    1.891e+22    2.400e+22    8.57    1.129e-19  0.2468    29.15    43.29  1
  127  i03j09k07       838    757    1.264e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  128  i03j09k07       740    653    9.831e+21    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  129  i03j09k07       276    464    1.315e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  130  i03j09k07       678    457    1.303e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  131  i02j09k07       115    936    5.213e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  132  i02j09k07       179    672    6.771e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  133  i02j09k07       456    868    5.268e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  134  i02j09k07       305     37    8.810e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  135  i02j09k07        71    491    8.098e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  136  i02j09k07       882    513    9.160e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  137  i02j09k07       788    890    7.153e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  138  i03j08k07       657    413    1.211e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  139  i03j08k07       345    507    1.302e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  140  i03j08k07       151    172    1.257e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  141  i02j08k07        57     39    8.783e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  142  i02j08k07       370    170    7.323e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  143  i02j08k07       771    168    7.763e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  144  i02j08k07       414    589    6.537e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  145  i02j08k07       339    631    7.485e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  146  i02j08k07       417    178    7.887e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  147  i03j07k07       431    364    1.096e+22    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  148  i03j07k07        77    565    9.870e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  149  i03j07k07       302    543    9.247e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  150  i03j07k07       804    736    1.237e+22    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  151  i03j07k07       586    723    9.798e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  152  i03j07k07       775    460    9.545e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  153  i03j07k07        86    705    9.592e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  154  i03j07k07       506    214    8.865e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  155  i02j07k07       325    126    7.164e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  156  i02j07k07       685    336    7.881e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  157  i02j07k07        40    891    7.057e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  158  i02j07k07       513    700    5.791e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  159  i02j07k07       659    314    7.074e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  160  i02j07k07       405    251    7.223e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  161  i02j07k07        46    547    8.272e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  162  i02j07k07       914    705    6.490e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  163  i02j07k07       753    918    5.795e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  164  i02j07k07       738    705    6.642e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  165  i02j07k07        77    455    7.450e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  166  i02j07k07       114    398    7.988e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  167  i02j07k07       312    103    8.372e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  168  i02j07k07       762    720    7.368e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  169  i02j07k07       905    644    7.600e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  170  i02j07k07       307    623    5.966e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  171  i02j07k07       884    851    5.607e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  172  i02j07k07       413    495    7.792e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  173  i01j06k07       172    844    4.230e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  174  i01j06k07       559     42    4.307e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  175  i01j07k07       657    937    4.094e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  176  i01j05k07       751     80    3.209e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  177  i01j05k07       688    800    4.003e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  178  i01j05k07       627    876    4.243e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  179  i01j05k07       828     37    3.221e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  180  i01j05k07       768     53    3.156e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  181  i01j05k07       901    213    2.584e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  182  i01j05k07       903    343    3.094e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  183  i01j05k07       881    324    3.117e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  184  i01j05k07       413    830    3.992e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  185  i01j05k07       864     37    3.052e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  186  i01j05k07       571    147    4.038e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  187  i01j05k07       938     86    2.947e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  188  i01j05k07       524    630    4.374e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  189  i01j05k07       376    768    4.240e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  190  i01j05k07       939    255    3.037e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  191  i01j05k07       298    769    4.261e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  192  i01j05k07       939    454    4.354e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  193  i01j05k07       211    846    4.267e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  194  i01j05k07       934    874    4.336e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  195  i01j05k07       746    243    4.366e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  196  i01j05k07       868     65    2.803e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  197  i01j05k07       906    249    2.690e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  198  i02j06k07       703    303    4.864e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  199  i02j06k07       258    881    5.161e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  200  i02j06k07       179    612    7.576e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  201  i02j06k07       494    159    7.215e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  202  i02j06k07       351     53    7.690e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  203  i02j06k07       506    553    7.518e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  204  i02j06k07       447    319    7.483e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  205  i02j06k07       801    413    5.431e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  206  i02j06k07       521    910    5.361e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  207  i02j06k07       419    931    4.737e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  208  i02j06k07       255    663    5.312e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  209  i02j06k07       617    665    6.885e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  210  i02j06k07       911    495    5.267e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  211  i02j06k07       816    884    6.539e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  212  i02j06k07       595    303    6.399e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  213  i02j06k07       537    688    6.926e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  214  i02j06k07       730    823    5.800e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
