  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
 328   6   3   3  9.60e+22   6.840     0.0445   0.0080   2.7105     2.494  5.332e+21     1.056      0    0  7.0980e-18  2.8459e-18  4.2886e-19     428.03    1160.16    34804.94 1.1559e+23    1.75   sub
 329   6   3   4  9.60e+22   6.914     0.0445   0.0131   1.9637     1.721  4.685e+21     1.049      0    0  1.6897e-18  9.8200e-19  2.8726e-19     882.02    1732.04    51961.21 1.0387e+23    3.03   sub
 330   6   3   5  9.60e+22   6.949     0.0445   0.0214   1.4723     1.387  3.485e+21     1.036      0    0  3.9757e-19  2.8674e-19  1.8538e-19    1822.96    2683.92    80517.69 9.9080e+22    5.64   sub
 331   6   3   6  9.60e+22   6.964     0.0445   0.0350   1.1218     1.218  1.944e+21     1.020      0    1  9.1669e-20  7.5239e-20  1.1670e-19    3800.51    4263.49   127904.65 9.7177e+22   11.05   sub
 332   6   3   7  9.60e+22   6.970     0.0445   0.0572   0.8631     1.127  8.373e+20     1.009      0    1  2.0950e-20  1.8585e-20  7.2477e-20    7953.33    6864.84   205945.08 9.6445e+22   22.27   sub
 333   6   3   8  9.60e+22   6.972     0.0445   0.0936   0.6717     1.076  3.336e+20     1.003      0    1  4.9252e-21  4.5760e-21  4.5151e-20   16405.60   11019.67   330590.13 9.6170e+22   44.90   sub
 334   6   4   1  9.60e+22   6.571     0.1048   0.0030  16.4423   141.443  1.234e+22     1.129      1    0  1.1875e-16  8.3952e-19  2.9501e-19     102.57    1686.55    50596.50 2.1039e+23    1.29  deep
 335   6   4   2  9.60e+22   6.664     0.1048   0.0049   8.6742    29.334  1.226e+22     1.128      1    0  3.9473e-17  1.3456e-18  3.2016e-19     179.16    1554.07    46622.01 1.5965e+23    1.04 super
 336   6   4   3  9.60e+22   6.771     0.1048   0.0080   5.2329     8.560  1.166e+22     1.122      1    0  1.2406e-17  1.4494e-18  2.9516e-19     322.14    1685.69    50570.68 1.2912e+23    1.02   sub
 337   6   4   4  9.60e+22   6.863     0.1048   0.0131   3.4972     3.741  1.025e+22     1.107      1    0  3.5282e-18  9.4313e-19  2.3394e-19     608.14    2126.78    63803.32 1.1162e+23    1.30   sub
 338   6   4   5  9.60e+22   6.923     0.1048   0.0214   2.4748     2.211  7.629e+21     1.079      0    0  8.9344e-19  4.0404e-19  1.6564e-19    1213.74    3003.72    90111.66 1.0264e+23    2.01   sub
 339   6   4   6  9.60e+22   6.952     0.1048   0.0350   1.8203     1.610  4.330e+21     1.045      0    0  2.1290e-19  1.3222e-19  1.0970e-19    2491.71    4535.65   136069.59 9.8653e+22    3.53   sub
 340   6   4   7  9.60e+22   6.965     0.1048   0.0572   1.3699     1.332  1.913e+21     1.020      0    1  4.9094e-20  3.6864e-20  6.9933e-20    5193.68    7114.59   213437.72 9.7022e+22    6.70   sub
 341   6   4   8  9.60e+22   6.970     0.1048   0.0936   1.0493     1.190  7.656e+20     1.008      0    1  1.1397e-20  9.5761e-21  4.3971e-20   10783.42   11315.30   339459.07 9.6392e+22   13.16   sub
 342   6   4   9  9.60e+22   6.972     0.1048   0.1529   0.8113     1.112  2.960e+20     1.003      0    1  2.6444e-21  2.3779e-21  2.7392e-20   22389.82   18164.11   544923.38 9.6149e+22   26.42   sub
 343   6   4  10  9.60e+22   6.973     0.1048   0.2500   0.6243     1.066  1.086e+20     1.001      0    1  5.7831e-22  5.4260e-22  1.6645e-20   47880.23   29892.41   896772.37 9.6054e+22   55.32   sub
 344   6   5   1  9.60e+22   6.560     0.2471   0.0030  50.9353  1537.301  1.826e+22     1.190      1    1  1.3512e-16  8.7895e-20  1.0167e-19      96.08    4893.75   146812.50 2.2093e+23    1.68  deep
 345   6   5   2  9.60e+22   6.644     0.2471   0.0049  25.5799   382.506  1.966e+22     1.205      1    0  4.4695e-17  1.1685e-19  1.1570e-19     168.12    4300.40   129011.99 1.6752e+23    1.49  deep
 346   6   5   3  9.60e+22   6.734     0.2471   0.0080  13.2175    83.807  1.996e+22     1.208      1    0  1.5994e-17  1.9084e-19  1.3305e-19     282.93    3739.67   112189.98 1.3807e+23    1.19  deep
 347   6   5   4  9.60e+22   6.818     0.2471   0.0131   7.4171    19.811  1.823e+22     1.190      1    0  5.4498e-18  2.7509e-19  1.3754e-19     487.72    3617.50   108524.95 1.1947e+23    1.01 super
 348   6   5   5  9.60e+22   6.887     0.2471   0.0214   4.6512     6.585  1.411e+22     1.147      1    0  1.6650e-18  2.5285e-19  1.2063e-19     886.78    4124.57   123737.17 1.0787e+23    1.07   sub
 349   6   5   6  9.60e+22   6.932     0.2471   0.0350   3.1705     3.163  8.612e+21     1.090      0    0  4.5185e-19  1.4286e-19  9.1887e-20    1707.84    5414.77   162443.02 1.0138e+23    1.43   sub
 350   6   5   7  9.60e+22   6.956     0.2471   0.0572   2.2741     2.000  4.128e+21     1.043      0    1  1.1142e-19  5.5724e-20  6.3506e-20    3445.12    7834.61   235038.25 9.8233e+22    2.31   sub
 351   6   5   8  9.60e+22   6.966     0.2471   0.0936   1.6884     1.518  1.722e+21     1.018      0    1  2.6384e-20  1.7377e-20  4.1592e-20    7085.25   11962.59   358877.68 9.6884e+22    4.14   sub
 352   6   5   9  9.60e+22   6.971     0.2471   0.1529   1.2740     1.285  6.660e+20     1.007      0    1  5.9856e-21  4.6589e-21  2.6246e-20   14880.20   18957.02   568710.68 9.6336e+22    8.00   sub
 353   6   5  10  9.60e+22   6.973     0.2471   0.2500   0.9818     1.166  2.590e+20     1.003      0    1  1.4125e-21  1.2116e-21  1.6541e-20   30635.75   30079.47   902384.18 9.6130e+22   15.70   sub
 354   6   6   3  9.60e+22   6.719     0.5825   0.0080  41.0214  1009.870  2.285e+22     1.238      1    1  1.7979e-17  1.7803e-20  4.5501e-20     266.56   10934.82   328044.48 1.4200e+23    1.64  deep
 355   6   6   4  9.60e+22   6.798     0.5825   0.0131  21.4546   260.238  2.229e+22     1.232      1    1  6.5159e-18  2.5038e-20  5.2071e-20     445.37    9555.18   286655.45 1.2350e+23    1.41  deep
 356   6   6   5  9.60e+22   6.861     0.5825   0.0214  11.2204    55.955  1.899e+22     1.198      1    1  2.2835e-18  4.0809e-20  5.8667e-20     755.84    8480.83   254424.96 1.1188e+23    1.12 super
 357   6   6   6  9.60e+22   6.909     0.5825   0.0350   6.4541    14.060  1.332e+22     1.139      1    1  7.3806e-19  5.2494e-20  5.7783e-20    1334.12    8610.55   258316.49 1.0451e+23    1.00  crit
