! Date: 14/08/2026  Time: 20:22:17  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.19813277E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
   59  4.5237461E+04  2.1931438E-01  1.7399023E+02  1.4828809E+21  2.1239092E-02  1.0000000E-99  1.0000000E-99
   60  4.6016795E+04  2.2309265E-01  1.7698767E+02  1.4822819E+21  2.2028054E-02  1.0000000E-99  1.0000000E-99
   61  4.6796129E+04  2.2687091E-01  1.7998511E+02  1.4816725E+21  2.2832351E-02  1.0000000E-99  1.0000000E-99
   62  4.7575462E+04  2.3064918E-01  1.8298255E+02  1.4810525E+21  2.3652053E-02  1.0000000E-99  1.0000000E-99
   63  4.8354796E+04  2.3442745E-01  1.8597999E+02  1.4804221E+21  2.4487230E-02  1.0000000E-99  1.0000000E-99
   64  4.9134130E+04  2.3820571E-01  1.8897742E+02  1.4797811E+21  2.5337957E-02  1.0000000E-99  1.0000000E-99
   65  4.9913464E+04  2.4198398E-01  1.9197486E+02  1.4791296E+21  2.6204305E-02  1.0000000E-99  1.0000000E-99
   66  5.0692798E+04  2.4576224E-01  1.9497230E+02  1.4784675E+21  2.7086352E-02  1.0000000E-99  1.0000000E-99
   67  5.1472132E+04  2.4954051E-01  1.9796974E+02  1.4777948E+21  2.7984174E-02  1.0000000E-99  1.0000000E-99
   68  5.2251466E+04  2.5331877E-01  2.0096718E+02  1.4771116E+21  2.8897850E-02  1.0000000E-99  1.0000000E-99
   69  5.3030800E+04  2.5709704E-01  2.0396462E+02  1.4764178E+21  2.9827461E-02  1.0000000E-99  1.0000000E-99
   70  5.3810134E+04  2.6087530E-01  2.0696205E+02  1.4757133E+21  3.0773088E-02  1.0000000E-99  1.0000000E-99
   71  5.4589468E+04  2.6465357E-01  2.0995949E+02  1.4749982E+21  3.1734816E-02  1.0000000E-99  1.0000000E-99
   72  5.5368802E+04  2.6843184E-01  2.1295693E+02  1.4742725E+21  3.2712729E-02  1.0000000E-99  1.0000000E-99
   73  5.6148136E+04  2.7221010E-01  2.1595437E+02  1.4735362E+21  3.3706914E-02  1.0000000E-99  1.0000000E-99
   74  5.6927470E+04  2.7598837E-01  2.1895181E+02  1.4727891E+21  3.4717460E-02  1.0000000E-99  1.0000000E-99
   75  5.7706803E+04  2.7976663E-01  2.2194924E+02  1.4720314E+21  3.5744458E-02  1.0000000E-99  1.0000000E-99
   76  5.8486137E+04  2.8354490E-01  2.2494668E+02  1.4712629E+21  3.6787999E-02  1.0000000E-99  1.0000000E-99
   77  5.9265471E+04  2.8732316E-01  2.2794412E+02  1.4704838E+21  3.7848178E-02  1.0000000E-99  1.0000000E-99
   78  6.0044805E+04  2.9110143E-01  2.3094156E+02  1.4696938E+21  3.8925090E-02  1.0000000E-99  1.0000000E-99
   79  6.0824139E+04  2.9487969E-01  2.3393900E+02  1.4688932E+21  4.0018833E-02  1.0000000E-99  1.0000000E-99
   80  6.1603473E+04  2.9865796E-01  2.3693643E+02  1.4680817E+21  4.1129505E-02  1.0000000E-99  1.0000000E-99
   81  6.2382807E+04  3.0243623E-01  2.3993387E+02  1.4672595E+21  4.2257209E-02  1.0000000E-99  1.0000000E-99
   82  6.3162141E+04  3.0621449E-01  2.4293131E+02  1.4664264E+21  4.3402046E-02  1.0000000E-99  1.0000000E-99
   83  6.3941475E+04  3.0999276E-01  2.4592875E+02  1.4655825E+21  4.4564122E-02  1.0000000E-99  1.0000000E-99
   84  6.4720809E+04  3.1377102E-01  2.4892619E+02  1.4647278E+21  4.5743545E-02  1.0000000E-99  1.0000000E-99
   85  6.5500143E+04  3.1754929E-01  2.5192363E+02  1.4638622E+21  4.6940422E-02  1.0000000E-99  1.0000000E-99
   86  6.6279477E+04  3.2132755E-01  2.5492106E+02  1.4629857E+21  4.8154864E-02  1.0000000E-99  1.0000000E-99
   87  6.7058811E+04  3.2510582E-01  2.5791850E+02  1.4620983E+21  4.9386984E-02  1.0000000E-99  1.0000000E-99
   88  6.7838144E+04  3.2888408E-01  2.6091594E+02  1.4612000E+21  5.0636897E-02  1.0000000E-99  1.0000000E-99
   89  6.8617478E+04  3.3266235E-01  2.6391338E+02  1.4602907E+21  5.1904720E-02  1.0000000E-99  1.0000000E-99
   90  6.9396812E+04  3.3644062E-01  2.6691082E+02  1.4593705E+21  5.3190572E-02  1.0000000E-99  1.0000000E-99
   91  7.0176146E+04  3.4021888E-01  2.6990825E+02  1.4584392E+21  5.4494573E-02  1.0000000E-99  1.0000000E-99
   92  7.0955480E+04  3.4399715E-01  2.7290569E+02  1.4574970E+21  5.5816848E-02  1.0000000E-99  1.0000000E-99
   93  7.1734814E+04  3.4777541E-01  2.7590313E+02  1.4565437E+21  5.7157520E-02  1.0000000E-99  1.0000000E-99
   94  7.2514148E+04  3.5155368E-01  2.7890057E+02  1.4555794E+21  5.8516719E-02  1.0000000E-99  1.0000000E-99
   95  7.3293482E+04  3.5533194E-01  2.8189801E+02  1.4546040E+21  5.9894574E-02  1.0000000E-99  1.0000000E-99
   96  7.4072816E+04  3.5911021E-01  2.8489545E+02  1.4536175E+21  6.1291217E-02  1.0000000E-99  1.0000000E-99
   97  7.4852150E+04  3.6288847E-01  2.8789288E+02  1.4526199E+21  6.2706782E-02  1.0000000E-99  1.0000000E-99
   98  7.5631484E+04  3.6666674E-01  2.9089032E+02  1.4516111E+21  6.4141406E-02  1.0000000E-99  1.0000000E-99
   99  7.6410818E+04  3.7044501E-01  2.9388776E+02  1.4505912E+21  6.5595228E-02  1.0000000E-99  1.0000000E-99
  100  7.7190152E+04  3.7422327E-01  2.9688520E+02  1.4495601E+21  6.7068391E-02  1.0000000E-99  1.0000000E-99
  101  7.7969486E+04  3.7800154E-01  2.9988264E+02  1.4485178E+21  6.8561037E-02  1.0000000E-99  1.0000000E-99
  102  7.8748819E+04  3.8177980E-01  3.0288007E+02  1.4474642E+21  7.0073314E-02  1.0000000E-99  1.0000000E-99
  103  7.9528153E+04  3.8555807E-01  3.0587751E+02  1.4463994E+21  7.1605370E-02  1.0000000E-99  1.0000000E-99
  104  8.0307487E+04  3.8933633E-01  3.0887495E+02  1.4453233E+21  7.3157357E-02  1.0000000E-99  1.0000000E-99
  105  8.1086821E+04  3.9311460E-01  3.1187239E+02  1.4442358E+21  7.4729430E-02  1.0000000E-99  1.0000000E-99
  106  8.1866155E+04  3.9689286E-01  3.1486983E+02  1.4431371E+21  7.6321745E-02  1.0000000E-99  1.0000000E-99
  107  8.2645489E+04  4.0067113E-01  3.1786727E+02  1.4420269E+21  7.7934461E-02  1.0000000E-99  1.0000000E-99
  108  8.3424823E+04  4.0444940E-01  3.2086470E+02  1.4409054E+21  7.9567742E-02  1.0000000E-99  1.0000000E-99
  109  8.4204157E+04  4.0822766E-01  3.2386214E+02  1.4397725E+21  8.1221751E-02  1.0000000E-99  1.0000000E-99
  110  8.4983491E+04  4.1200593E-01  3.2685958E+02  1.4386281E+21  8.2896658E-02  1.0000000E-99  1.0000000E-99
