# Injection truth table -- cmf2.00_n400_s2026  seed=2026
# sep_criterion=90.0"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  scale
#-------------------------------------------------------------------------------------------------------
  128  i04j09k06       183    155    2.547e+22    2.400e+22    8.38    4.674e-19  0.2472    19.72  1
  129  i04j10k04       239    309    2.980e+22    2.400e+22    7.58    6.574e-18  0.3795    19.14  1
  130  i01j10k04       347    831    3.960e+21    3.000e+21    8.20    7.043e-18  0.3795    17.60  1
  131  i04j07k06       117    240    2.804e+22    2.400e+22    8.55    2.143e-19  0.1047    17.07  1
  132  i04j07k06       213    267    3.162e+22    2.400e+22    8.55    2.143e-19  0.1047    17.07  1
  133  i03j07k06        99    650    1.161e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  134  i03j07k06       151    568    1.649e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  135  i03j07k06       103    184    1.549e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  136  i03j07k06       201    375    1.320e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  137  i03j07k06       454    532    1.466e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  138  i03j07k06       252    386    1.357e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  139  i03j07k06       561    487    1.330e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  140  i03j07k06       172    517    1.223e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  141  i03j07k06        61    356    1.363e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  142  i03j07k06       646    575    1.302e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  143  i03j07k06        49    694    1.239e+22    1.200e+22    9.67    2.138e-19  0.1047    16.93  1
  144  i03j06k06       224    152    1.408e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  145  i03j06k06       194    115    1.659e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  146  i03j06k06       131    605    1.478e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  147  i03j06k06       322    499    1.238e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  148  i03j06k06        57    659    1.550e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  149  i03j06k06       144    215    1.562e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  150  i03j06k06        63    260    1.262e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  151  i03j06k06       837    711    1.293e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  152  i03j06k06       632    391    1.205e+22    1.200e+22    9.80    1.402e-19  0.0682    16.48  1
  153  i02j06k06       800    488    7.183e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  154  i02j06k06       209    756    6.251e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  155  i02j06k06       728    628    8.620e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  156  i02j06k06       373    239    8.364e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  157  i02j06k06       901    560    7.328e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  158  i02j06k06       797    610    7.302e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  159  i02j06k06       432    298    6.702e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  160  i02j06k06       723    746    5.901e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  161  i02j06k06        39    805    7.645e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  162  i02j06k06        44    460    6.984e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  163  i02j06k06       237    115    8.173e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  164  i02j06k06        51    771    6.894e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  165  i02j06k06       781    644    8.253e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
  166  i02j06k06       623    287    6.045e+21    6.000e+21   11.13    1.422e-19  0.0682    16.32  1
