# radiative transfer cores injected into simsky2.w80
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i08j25k14     1028   993     1.3015      68.05      4.8e+22      61.02     7.62    3.644e+22
i08j25k14      750   857     1.3015      68.05      4.8e+22      61.02     7.62    3.541e+22
i08j25k14      876   852     1.3015      68.05      4.8e+22      61.02     7.62    4.411e+22
i08j25k14      874   671     1.3015      68.05      4.8e+22      61.02     7.62    4.182e+22
i08j25k14      805   656     1.3015      68.05      4.8e+22      61.02     7.62     3.43e+22
i08j25k14     1203  1124     1.3015      68.05      4.8e+22      61.02     7.62     3.62e+22
i07j27k10     1581  1354     2.8650     184.67      2.4e+22      28.15     8.32    2.351e+22
i07j27k10      221   220     2.8650     184.67      2.4e+22      28.15     8.32     2.95e+22
i07j27k10      897   459     2.8650     184.67      2.4e+22      28.15     8.32    3.006e+22
i07j27k10     1213   748     2.8650     184.67      2.4e+22      28.15     8.32    1.744e+22
i07j27k10      644  1334     2.8650     184.67      2.4e+22      28.15     8.32    2.656e+22
i07j27k10      938   238     2.8650     184.67      2.4e+22      28.15     8.32     1.94e+22
i07j27k10     1363   903     2.8650     184.67      2.4e+22      28.15     8.32    3.174e+22
i07j27k10      383   661     2.8650     184.67      2.4e+22      28.15     8.32    2.422e+22
