! Date: 08/09/2026  Time: 12:05:46  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
   68  5.5660321E+03  2.6984514E-02  2.1407816E+01  1.9188465E+23  1.1850015E-03  1.0000000E-99  1.0000000E-99
   69  5.6490854E+03  2.7387163E-02  2.1727252E+01  1.9188118E+23  1.1850015E-03  1.0000000E-99  1.0000000E-99
   70  5.7321387E+03  2.7789811E-02  2.2046687E+01  1.9187766E+23  1.1850015E-03  1.0000000E-99  1.0000000E-99
   71  5.8151920E+03  2.8192459E-02  2.2366123E+01  1.9187409E+23  1.2209483E-03  1.0000000E-99  1.0000000E-99
   72  5.8982453E+03  2.8595107E-02  2.2685559E+01  1.9187046E+23  1.2574343E-03  1.0000000E-99  1.0000000E-99
   73  5.9812986E+03  2.8997755E-02  2.3004995E+01  1.9186679E+23  1.2944594E-03  1.0000000E-99  1.0000000E-99
   74  6.0643519E+03  2.9400403E-02  2.3324430E+01  1.9186306E+23  1.3320238E-03  1.0000000E-99  1.0000000E-99
   75  6.1474051E+03  2.9803051E-02  2.3643866E+01  1.9185928E+23  1.3701277E-03  1.0000000E-99  1.0000000E-99
   76  6.2304584E+03  3.0205700E-02  2.3963302E+01  1.9185545E+23  1.4087712E-03  1.0000000E-99  1.0000000E-99
   77  6.3135117E+03  3.0608348E-02  2.4282737E+01  1.9185157E+23  1.4479543E-03  1.0000000E-99  1.0000000E-99
   78  6.3965650E+03  3.1010996E-02  2.4602173E+01  1.9184764E+23  1.4876773E-03  1.0000000E-99  1.0000000E-99
   79  6.4796183E+03  3.1413644E-02  2.4921609E+01  1.9184365E+23  1.5279402E-03  1.0000000E-99  1.0000000E-99
   80  6.5626716E+03  3.1816292E-02  2.5241045E+01  1.9183962E+23  1.5687432E-03  1.0000000E-99  1.0000000E-99
   81  6.6457249E+03  3.2218940E-02  2.5560480E+01  1.9183553E+23  1.6100865E-03  1.0000000E-99  1.0000000E-99
   82  6.7287782E+03  3.2621589E-02  2.5879916E+01  1.9183139E+23  1.6519700E-03  1.0000000E-99  1.0000000E-99
   83  6.8118314E+03  3.3024237E-02  2.6199352E+01  1.9182720E+23  1.6943940E-03  1.0000000E-99  1.0000000E-99
   84  6.8948847E+03  3.3426885E-02  2.6518787E+01  1.9182296E+23  1.7373587E-03  1.0000000E-99  1.0000000E-99
   85  6.9779380E+03  3.3829533E-02  2.6838223E+01  1.9181866E+23  1.7808641E-03  1.0000000E-99  1.0000000E-99
   86  7.0609913E+03  3.4232181E-02  2.7157659E+01  1.9181432E+23  1.8249104E-03  1.0000000E-99  1.0000000E-99
   87  7.1440446E+03  3.4634829E-02  2.7477095E+01  1.9180992E+23  1.8694977E-03  1.0000000E-99  1.0000000E-99
   88  7.2270979E+03  3.5037478E-02  2.7796530E+01  1.9180547E+23  1.9146263E-03  1.0000000E-99  1.0000000E-99
   89  7.3101512E+03  3.5440126E-02  2.8115966E+01  1.9180097E+23  1.9602961E-03  1.0000000E-99  1.0000000E-99
   90  7.3932044E+03  3.5842774E-02  2.8435402E+01  1.9179642E+23  2.0065074E-03  1.0000000E-99  1.0000000E-99
   91  7.4762577E+03  3.6245422E-02  2.8754837E+01  1.9179182E+23  2.0532603E-03  1.0000000E-99  1.0000000E-99
   92  7.5593110E+03  3.6648070E-02  2.9074273E+01  1.9178716E+23  2.1005551E-03  1.0000000E-99  1.0000000E-99
   93  7.6423643E+03  3.7050718E-02  2.9393709E+01  1.9178246E+23  2.1483917E-03  1.0000000E-99  1.0000000E-99
   94  7.7254176E+03  3.7453367E-02  2.9713145E+01  1.9177770E+23  2.1967704E-03  1.0000000E-99  1.0000000E-99
   95  7.8084709E+03  3.7856015E-02  3.0032580E+01  1.9177289E+23  2.2456914E-03  1.0000000E-99  1.0000000E-99
   96  7.8915242E+03  3.8258663E-02  3.0352016E+01  1.9176803E+23  2.2951547E-03  1.0000000E-99  1.0000000E-99
   97  7.9745774E+03  3.8661311E-02  3.0671452E+01  1.9176312E+23  2.3451606E-03  1.0000000E-99  1.0000000E-99
   98  8.0576307E+03  3.9063959E-02  3.0990887E+01  1.9175815E+23  2.3957093E-03  1.0000000E-99  1.0000000E-99
   99  8.1406840E+03  3.9466607E-02  3.1310323E+01  1.9175314E+23  2.4468008E-03  1.0000000E-99  1.0000000E-99
  100  8.2237373E+03  3.9869255E-02  3.1629759E+01  1.9174807E+23  2.4984353E-03  1.0000000E-99  1.0000000E-99
  101  8.3067906E+03  4.0271904E-02  3.1949195E+01  1.9174295E+23  2.5506131E-03  1.0000000E-99  1.0000000E-99
  102  8.3898439E+03  4.0674552E-02  3.2268630E+01  1.9173778E+23  2.6033343E-03  1.0000000E-99  1.0000000E-99
  103  8.4728972E+03  4.1077200E-02  3.2588066E+01  1.9173256E+23  2.6565990E-03  1.0000000E-99  1.0000000E-99
  104  8.5559505E+03  4.1479848E-02  3.2907502E+01  1.9172729E+23  2.7104074E-03  1.0000000E-99  1.0000000E-99
  105  8.6390037E+03  4.1882496E-02  3.3226937E+01  1.9172196E+23  2.7647597E-03  1.0000000E-99  1.0000000E-99
  106  8.7220570E+03  4.2285144E-02  3.3546373E+01  1.9171658E+23  2.8196561E-03  1.0000000E-99  1.0000000E-99
  107  8.8051103E+03  4.2687793E-02  3.3865809E+01  1.9171116E+23  2.8750968E-03  1.0000000E-99  1.0000000E-99
  108  8.8881636E+03  4.3090441E-02  3.4185245E+01  1.9170568E+23  2.9310819E-03  1.0000000E-99  1.0000000E-99
  109  8.9712169E+03  4.3493089E-02  3.4504680E+01  1.9170014E+23  2.9876116E-03  1.0000000E-99  1.0000000E-99
  110  9.0542702E+03  4.3895737E-02  3.4824116E+01  1.9169456E+23  3.0446861E-03  1.0000000E-99  1.0000000E-99
