ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
991,4,24,10,3e+21,0.876712,0.0273861,9.521,8.405,36.3725,1091.18,109.118,30,0.396412,0.323911,0.495622,0.322463,0.490513,0.565505,0.559195,0.560472,0.554244,60,90,1.27983,1.33136,1.08263,1.32541,1.07147,1.03973,1.02812,0.931149,0.920801,1.49658,1.59319,1.06845
992,4,24,11,3e+21,0.876712,0.0350141,6.9865,7.333,35.3251,1059.75,105.975,36,0.442421,0.364742,0.529842,0.362832,0.524048,0.575041,0.568982,0.568636,0.562683,72,100.676,2.10984,2.30152,1.06402,2.28947,1.05238,1.01525,1.00455,0.938731,0.928904,2.37865,2.64803,1.09176
993,4,24,12,3e+21,0.876712,0.0447667,5.2376,6.055,36.2296,1086.89,108.689,42,0.506241,0.421365,0.574508,0.418597,0.5681,0.597051,0.590464,0.592335,0.585834,84,103.254,3.15203,3.59956,1.13675,3.57591,1.12407,1.05165,1.04005,1.00898,0.997904,3.42625,3.98144,1.15197
994,4,24,13,3e+21,0.876712,0.0572357,4.0956,4.832,39.0611,1171.83,117.183,48,0.582006,0.489631,0.62194,0.485382,0.613917,0.631195,0.623115,0.626938,0.618951,96,111.324,0.861231,0.851623,1.23414,0.844233,1.21822,1.11096,1.09674,1.09973,1.08572,0.908708,0.91177,1.22825
995,4,24,14,3e+21,0.876712,0.0731778,3.2638,3.72,44.1399,1324.2,132.42,60,0.668957,0.570674,0.682308,0.563692,0.67108,0.671209,0.660279,0.669318,0.658443,120,125.799,2.00909,2.41352,1.05468,2.38399,1.03732,0.867828,0.853696,0.861328,0.847334,2.07198,2.51837,1.05559
996,4,24,15,3e+21,0.876712,0.0935603,2.658,2.84,51.7374,1552.12,155.212,78,0.753531,0.65407,0.733721,0.642224,0.71714,0.71005,0.694276,0.71005,0.694276,147.452,147.452,1.04311,1.10962,1.01803,1.08952,0.995021,0.788876,0.77135,0.788876,0.77135,1.05996,1.13773,1.01803
997,4,24,16,3e+21,0.876712,0.11962,2.2067,2.203,62.269,1868.07,186.807,96,0.824048,0.730714,0.77616,0.710458,0.750775,0.740791,0.717148,0.740791,0.717148,177.467,177.467,0.979061,1.02588,1.07254,0.997436,1.03746,0.879445,0.851377,0.879445,0.851377,0.986549,1.04053,1.07254
998,4,24,17,3e+21,0.876712,0.152938,1.8568,1.764,76.5754,2297.26,229.726,120,0.871571,0.787319,0.805677,0.75294,0.765889,0.75187,0.716064,0.75187,0.716064,218.24,218.24,0.970348,1.03152,1.11485,0.986482,1.0598,0.93794,0.893273,0.93794,0.893273,0.973684,1.03997,1.11485
999,4,24,18,3e+21,0.876712,0.195537,1.5848,1.48,95.1875,2855.62,285.562,156,0.899503,0.824427,0.814856,0.767086,0.752872,0.734938,0.681997,0.734938,0.681997,271.284,271.284,0.944919,0.98564,0.990742,0.917087,0.915378,0.781679,0.72537,0.781679,0.72537,0.94628,0.990259,0.990742
1000,4,24,19,3e+21,0.876712,0.25,1.3649,1.298,119.427,3582.82,358.282,198,0.915183,0.847984,0.805897,0.752988,0.709858,0.682575,0.607762,0.682575,0.607762,340.368,340.368,0.932978,0.955792,0.933541,0.848718,0.82229,0.605803,0.539404,0.605803,0.539404,0.933474,0.958228,0.933541
1001,4,25,7,3e+21,1.30103,0.0131037,48.6304,10.144,80.4789,2414.37,241.437,24,0.327697,0.261666,0.472386,0.260724,0.467633,0.611981,0.598068,0.652178,0.629583,48,72,0.74992,0.731638,0.874685,0.729006,0.865884,1.00238,0.97959,1.04498,1.00877,0.966081,0.972909,0.935031
1002,4,25,8,3e+21,1.30103,0.0167535,33.782,9.999,73.099,2192.97,219.297,24,0.342979,0.277487,0.468532,0.276471,0.464169,0.603384,0.590855,0.638394,0.618926,48,72,0.824481,0.814165,0.896246,0.811183,0.887899,1.03325,1.01179,1.1028,1.06917,1.03151,1.04762,0.958754
1003,4,25,9,3e+21,1.30103,0.02142,22.9559,9.544,64.9987,1949.96,194.996,30,0.365867,0.299468,0.518636,0.29831,0.512823,0.616037,0.601693,0.626881,0.6118,60,90,0.951293,0.955274,0.93914,0.951582,0.928615,0.999411,0.976141,1.05041,1.02514,1.15027,1.18392,0.977807
1004,4,25,10,3e+21,1.30103,0.0273861,16.0912,8.87,58.2519,1747.56,174.756,30,0.394564,0.326005,0.518316,0.324634,0.512855,0.609125,0.597268,0.615591,0.603704,60,90,1.11869,1.14442,0.982266,1.13961,0.971918,1.0835,1.0624,1.10788,1.08648,1.30859,1.36812,1.02408
1005,4,25,11,3e+21,1.30103,0.0350141,10.995,7.864,52.7223,1581.67,158.167,36,0.437546,0.365089,0.55,0.363325,0.54354,0.613485,0.603768,0.607409,0.597815,72,108,1.55771,1.6514,1.11787,1.64343,1.10474,1.11256,1.09494,1.04282,1.02635,1.75559,1.89626,1.13935
1006,4,25,12,3e+21,1.30103,0.0447667,7.8406,6.705,50.1003,1503.01,150.301,42,0.490837,0.412866,0.57962,0.410463,0.572001,0.619878,0.611021,0.610889,0.60221,84,126,3.196,3.59709,1.12188,3.57615,1.10713,1.12115,1.10513,1.02192,1.0074,3.48163,3.98107,1.12821
1007,4,25,13,3e+21,1.30103,0.0572357,5.8411,5.506,50.3546,1510.64,151.064,54,0.555739,0.471315,0.625002,0.467836,0.615896,0.636202,0.627046,0.627767,0.618804,108,143.511,3.74657,4.37855,1.18773,4.34624,1.17043,1.13223,1.11594,1.08179,1.06634,3.96587,4.69616,1.19976
1008,4,25,14,3e+21,1.30103,0.0731778,4.5309,4.395,53.3105,1599.31,159.931,60,0.628167,0.537337,0.662489,0.532068,0.651738,0.664964,0.654258,0.656653,0.646166,120,151.935,4.08905,5.03205,1.26891,4.98271,1.24832,1.19691,1.17764,1.15908,1.14056,4.23487,5.2673,1.26919
