# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 34961 rows from 21 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   0.9993398   8.489467e+19   0.8938294    0.185127   1.0024477   -0.024958     0.22639        1  i01j08k01
   1.0621233   1.178248e+20   1.0267402    0.173883   1.0025089   -0.025383     0.31420        1  i01j08k01
   1.0621233   1.178248e+20   1.0267402    0.173883   1.0025089   -0.025383     0.31420        1  i01j08k01
   0.9854444   8.103629e+19   0.8739248    0.187342   1.0014317   -0.014339     0.21610        1  i01j08k01
   0.9854444   8.103629e+19   0.8739248    0.187342   1.0014317   -0.014339     0.21610        1  i01j08k01
   1.0789413   3.470281e+20   0.9994487    0.003426   1.0001993   -0.001810     0.92541        0  i01j27k10
   1.0789134   3.470712e+20   0.9994544    0.003515   1.0002182   -0.001999     0.92552        0  i01j27k10
   1.0788590   3.471201e+20   0.9994517    0.003588   1.0002235   -0.002052     0.92565        0  i01j27k10
   1.0788537   3.471513e+20   0.9994427    0.003536   1.0002296   -0.002111     0.92574        0  i01j27k10
   1.0788758   3.471711e+20   0.9994321    0.003511   1.0002349   -0.002163     0.92579        0  i01j27k10
   1.0788775   3.471952e+20   0.9994228    0.003632   1.0002400   -0.002213     0.92585        0  i01j27k10
   1.0788484   3.472271e+20   0.9994071    0.003824   1.0002455   -0.002268     0.92594        0  i01j27k10
   1.0787602   3.472754e+20   0.9993495    0.004004   1.0002482   -0.002293     0.92607        1  i01j27k10
   1.0786333   3.473342e+20   0.9991523    0.004257   1.0002539   -0.002346     0.92622        1  i01j27k10
   1.0784323   3.474143e+20   0.9986569    0.004808   1.0002257   -0.002050     0.92644        1  i01j27k10
   1.0781328   3.475242e+20   0.9976213    0.006216   1.0002169   -0.001951     0.92673        1  i01j27k10
   1.0777437   3.476605e+20   0.9959578    0.008421   1.0001310   -0.001059     0.92709        1  i01j27k10
   1.0773060   3.478104e+20   0.9937151    0.011576   1.0000931   -0.000658     0.92749        1  i01j27k10
   1.0768341   3.479691e+20   0.9913251    0.014864   1.0000232    0.000071     0.92792        1  i01j27k10
   1.0764100   3.481103e+20   0.9893711    0.017546   0.9999717    0.000607     0.92829        1  i01j27k10
   1.0762354   3.481685e+20   0.9884099    0.018887   0.9999560    0.000772     0.92845        1  i01j27k10
   1.0762786   3.481539e+20   0.9887344    0.018457   0.9999740    0.000586     0.92841        1  i01j27k10
   1.0766131   3.480429e+20   0.9902638    0.016270   0.9999699    0.000620     0.92811        1  i01j27k10
   1.0770647   3.478918e+20   0.9924948    0.013309   1.0000848   -0.000566     0.92771        1  i01j27k10
   1.0775260   3.477353e+20   0.9948960    0.009872   1.0000917   -0.000650     0.92729        1  i01j27k10
   1.0779461   3.475901e+20   0.9968634    0.007254   1.0001974   -0.001745     0.92691        1  i01j27k10
   1.0782950   3.474655e+20   0.9982191    0.005381   1.0002160   -0.001947     0.92657        1  i01j27k10
   1.0785412   3.473719e+20   0.9989551    0.004473   1.0002461   -0.002264     0.92632        1  i01j27k10
   1.0787052   3.473024e+20   0.9992774    0.004107   1.0002508   -0.002317     0.92614        1  i01j27k10
   1.0788079   3.472503e+20   0.9993881    0.003916   1.0002472   -0.002283     0.92600        1  i01j27k10
   1.0788685   3.472097e+20   0.9994171    0.003725   1.0002424   -0.002237     0.92589        0  i01j27k10
   1.0788803   3.471822e+20   0.9994273    0.003557   1.0002372   -0.002186     0.92582        0  i01j27k10
   1.0788668   3.471609e+20   0.9994364    0.003511   1.0002322   -0.002138     0.92576        0  i01j27k10
   1.0788461   3.471392e+20   0.9994479    0.003571   1.0002269   -0.002087     0.92570        0  i01j27k10
   1.0788966   3.470927e+20   0.9994536    0.003567   1.0002215   -0.002033     0.92558        0  i01j27k10
   1.0789172   3.470532e+20   0.9994522    0.003462   1.0002115   -0.001934     0.92548        0  i01j27k10
   1.0789119   3.470550e+20   0.9994525    0.003462   1.0002131   -0.001949     0.92548        0  i01j27k10
   1.0789106   3.470890e+20   0.9994552    0.003555   1.0002261   -0.002079     0.92557        0  i01j27k10
   1.0788740   3.471315e+20   0.9994498    0.003548   1.0002313   -0.002131     0.92568        0  i01j27k10
   1.0788980   3.471527e+20   0.9994400    0.003466   1.0002361   -0.002176     0.92574        0  i01j27k10
   1.0789020   3.471777e+20   0.9994309    0.003517   1.0002401   -0.002216     0.92581        0  i01j27k10
   1.0788906   3.472056e+20   0.9994202    0.003695   1.0002447   -0.002260     0.92588        0  i01j27k10
   1.0788453   3.472419e+20   0.9993802    0.003902   1.0002493   -0.002306     0.92598        1  i01j27k10
   1.0787678   3.472864e+20   0.9992319    0.004107   1.0002501   -0.002310     0.92610        1  i01j27k10
   1.0786264   3.473492e+20   0.9987830    0.004631   1.0002541   -0.002346     0.92626        1  i01j27k10
   1.0783809   3.474431e+20   0.9977537    0.005892   1.0002033   -0.001816     0.92651        1  i01j27k10
   1.0779825   3.475843e+20   0.9957951    0.008671   1.0002085   -0.001854     0.92689        1  i01j27k10
   1.0774903   3.477533e+20   0.9929122    0.012518   1.0000598   -0.000311     0.92734        1  i01j27k10
   1.0769408   3.479389e+20   0.9893034    0.017742   1.0000685   -0.000378     0.92784        1  i01j27k10
   1.0763951   3.481212e+20   0.9858138    0.022486   0.9999285    0.001072     0.92832        1  i01j27k10
