ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p6,R_exc_f1p6,R_int_f1p6,R_exc_bsl_f1p6,R_int_bsl_f1p6,R_ap2_f1p6,R_ap2_bsl_f1p6,R_ap3_f1p6,R_ap3_bsl_f1p6,R_peak_f1p35,R_exc_f1p35,R_int_f1p35,R_exc_bsl_f1p35,R_int_bsl_f1p35,R_ap2_f1p35,R_ap2_bsl_f1p35,R_ap3_f1p35,R_ap3_bsl_f1p35,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak_f1p1,R_exc_f1p1,R_int_f1p1,R_exc_bsl_f1p1,R_int_bsl_f1p1,R_ap2_f1p1,R_ap2_bsl_f1p1,R_ap3_f1p1,R_ap3_bsl_f1p1
2233,9,16,1,9.6e+22,0.0372759,0.003,5.1023,1.05,2.38504,71.551,27,18,0.364341,-1.18145,-2.35515,-0.820903,-2.33317,-1.30274,-1.29819,-1.30274,-1.29819,25.65,25.65,0.316392,-1.22371,-2.52824,-0.850266,-2.50464,-1.39932,-1.39444,-1.39932,-1.39444,0.315424,-1.28145,-2.39171,-0.890386,-2.36938,-1.31596,-1.31136,-1.31596,-1.31136,0.307837,-1.31956,-2.54744,-0.916862,-2.52366,-1.40261,-1.39771,-1.40261,-1.39771,0.313634,-1.20874,-2.49248,-0.839868,-2.46921,-1.39212,-1.38725,-1.39212,-1.38725
2248,9,17,1,9.6e+22,0.0553168,0.003,7.4769,1.074,3.219,96.5703,27,18,0.384234,-0.349425,-1.03476,-0.264458,-1.01049,-0.799997,-0.790294,-0.799997,-0.790294,25.65,25.65,0.335551,-0.346407,-1.1724,-0.262174,-1.1449,-0.855062,-0.844692,-0.855062,-0.844692,0.322397,-0.443994,-1.22661,-0.336032,-1.19784,-0.907335,-0.896331,-0.907335,-0.896331,0.32409,-0.435561,-1.17044,-0.329649,-1.14299,-0.87026,-0.859705,-0.87026,-0.859705,0.328867,-0.38651,-1.23535,-0.292526,-1.20637,-0.942057,-0.930631,-0.942057,-0.930631
2249,9,17,2,9.6e+22,0.0553168,0.0038356,5.8117,1.073,3.36042,100.812,27,18,0.385244,-0.359034,-1.02686,-0.258215,-0.995048,-0.771092,-0.759078,-0.771092,-0.759078,25.65,25.65,0.325842,-0.490971,-1.23844,-0.353104,-1.20007,-0.927428,-0.912978,-0.927428,-0.912978,0.324207,-0.448458,-1.28625,-0.322529,-1.2464,-0.936266,-0.921678,-0.936266,-0.921678,0.326453,-0.450612,-1.32412,-0.324078,-1.28309,-0.969334,-0.954231,-0.969334,-0.954231,0.319096,-0.515208,-1.23124,-0.370535,-1.1931,-0.921465,-0.907108,-0.921465,-0.907108
2250,9,17,3,9.6e+22,0.0553168,0.00490394,4.664,1.072,3.64304,109.291,27,18,0.385955,-0.296239,-0.864526,-0.204887,-0.829365,-0.664652,-0.650756,-0.664652,-0.650756,25.65,25.65,0.331934,-0.31335,-1.04976,-0.216722,-1.00707,-0.782902,-0.766534,-0.782902,-0.766534,0.317719,-0.485593,-1.18825,-0.33585,-1.13992,-0.920454,-0.901211,-0.920454,-0.901211,0.318129,-0.413217,-1.20972,-0.285793,-1.16052,-0.911799,-0.892736,-0.911799,-0.892736,0.317674,-0.445013,-1.18499,-0.307784,-1.13679,-0.909296,-0.890286,-0.909296,-0.890286
2251,9,17,4,9.6e+22,0.0553168,0.00626986,3.7933,1.071,4.10819,123.246,27,18,0.387827,-0.201243,-0.629957,-0.133399,-0.596418,-0.512827,-0.498083,-0.512827,-0.498083,25.65,25.65,0.322648,-0.404456,-0.925463,-0.268103,-0.876192,-0.778335,-0.755956,-0.778335,-0.755956,0.317458,-0.415561,-0.990528,-0.275464,-0.937793,-0.749497,-0.727947,-0.749497,-0.727947,0.315418,-0.361574,-0.94179,-0.239678,-0.89165,-0.738863,-0.717619,-0.738863,-0.717619,0.309674,-0.446011,-1.10498,-0.295649,-1.04615,-0.854899,-0.830318,-0.854899,-0.830318
2252,9,17,5,9.6e+22,0.0553168,0.00801622,3.1548,1.068,4.76027,142.808,27,18,0.387544,-0.0716349,-0.297914,-0.0479572,-0.273282,-0.289561,-0.274818,-0.289561,-0.274818,25.65,25.65,0.307491,-0.201722,-0.691715,-0.135046,-0.634524,-0.614294,-0.583018,-0.614294,-0.583018,0.311241,-0.189787,-0.712068,-0.127056,-0.653194,-0.647218,-0.614265,-0.647218,-0.614265,0.302251,-0.329578,-0.799285,-0.220641,-0.7332,-0.72273,-0.685933,-0.72273,-0.685933,0.309986,-0.185708,-0.778588,-0.124325,-0.714214,-0.72368,-0.686834,-0.72368,-0.686834
2253,9,17,6,9.6e+22,0.0553168,0.010249,2.653,1.065,5.66458,169.938,27,18,0.39109,-0.000368015,-0.101096,-0.00023181,-0.0894906,-0.124874,-0.115416,-0.124874,-0.115416,25.65,25.65,0.306267,-0.23744,-0.54172,-0.149562,-0.479535,-0.52653,-0.48665,-0.52653,-0.48665,0.311248,-0.13851,-0.415494,-0.087247,-0.367798,-0.388926,-0.359468,-0.388926,-0.359468,0.299392,-0.249085,-0.582861,-0.156897,-0.515953,-0.587723,-0.543208,-0.587723,-0.543208,0.298141,-0.224714,-0.519979,-0.141546,-0.460289,-0.534637,-0.494143,-0.534637,-0.494143
2254,9,17,7,9.6e+22,0.0553168,0.0131037,2.2549,1.06,6.87335,206.2,27,18,0.393482,0.0636449,0.0609176,0.0381026,0.0495432,0.0303331,0.0261624,0.0303331,0.0261624,25.65,25.65,0.318601,0.0281595,-0.327368,0.0168584,-0.266242,-0.331739,-0.286127,-0.331739,-0.286127,0.302103,-0.123722,-0.303719,-0.074069,-0.247009,-0.391344,-0.337536,-0.391344,-0.337536,0.294138,-0.181757,-0.366243,-0.108814,-0.297859,-0.334656,-0.288642,-0.334656,-0.288642,0.294237,-0.168945,-0.32219,-0.101143,-0.262031,-0.477556,-0.411895,-0.477556,-0.411895
2255,9,17,8,9.6e+22,0.0553168,0.0167535,1.9259,1.053,8.50631,255.19,27,18,0.397253,0.115461,0.169099,0.0610564,0.120044,0.148175,0.114114,0.148175,0.114114,25.65,25.65,0.298062,-0.0708408,-0.0290959,-0.0374609,-0.0206553,-0.0724097,-0.0557646,-0.0724097,-0.0557646,0.293178,-0.064043,-0.0182787,-0.0338662,-0.0129761,0.0673643,0.051879,0.0673643,0.051879,0.296,-0.0613316,-0.00138816,-0.0324324,-0.000985459,-0.117593,-0.0905618,-0.117593,-0.0905618,0.297962,-0.0329255,-0.707081,-0.0174112,-0.50196,-0.817599,-0.629654,-0.817599,-0.629654
2264,9,18,1,9.6e+22,0.0820891,0.003,11.7358,1.105,4.81646,144.494,27,18,0.398457,-0.045722,-0.227429,-0.0369439,-0.216039,-0.2662,-0.256437,-0.2662,-0.256437,25.65,25.65,0.328858,-0.113804,-0.42789,-0.0919547,-0.406462,-0.453438,-0.436809,-0.453438,-0.436809,0.33444,-0.06867,-0.388324,-0.0554861,-0.368877,-0.401923,-0.387183,-0.401923,-0.387183,0.336208,-0.0611379,-0.430423,-0.0494001,-0.408867,-0.474688,-0.457279,-0.474688,-0.457279,0.331065,-0.0874295,-0.400557,-0.070644,-0.380497,-0.43751,-0.421465,-0.43751,-0.421465
