! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE additional/01              22.97261
       1.1875     1.02555        28
       1.2125     1.09337        16
       1.2375     1.26436         8
       1.2625     1.03521         8
       1.2875     1.16379         8
       1.3125     1.05611        24
       1.3375     1.05237        16
       1.3625     1.13911        20
       1.3875     1.11257        16
       1.4125     1.13062        16
       1.4375     1.08261        32
       1.4625     1.17312        12
       1.4875     1.00925        24
       1.5125     1.04349        16
       1.5375     1.06534        16
       1.5625     1.01328         8
       1.5875     1.07052        16
       1.6125     1.01363        32
       1.6375     1.04807        20
       1.6625     1.07290        24
       1.6875     1.04261        36
       1.7125     1.00786         8
       1.7375     1.02168        16
       1.7625     1.01017        24
       1.7875     1.02408        16
       1.8125     1.02027        24
       1.8375     1.03117         8
       1.8625     1.01013        48
       1.8875     1.01821        16
       1.9125     1.01097        24
       1.9375     1.00748         8
       1.9625     1.01025        16
       1.9875     1.00585        40
       2.0125     1.01050        16
       2.0375     1.01312        36
       2.0625     1.00623        16
       2.0875     1.00398        24
       2.1125     1.00809        12
       2.1375     1.00619        32
       2.1625     1.00577        16
       2.1875     1.00755        36
NODE i01j10k03                  17.97035
       0.0125     3.53812       104
       0.0375     3.60572         8
       0.0625     1.58741         8
       0.0875     2.14295        16
       0.1875     2.75664        16
       0.2125     1.53983         8
       0.2625     1.99076        24
       0.2875     1.34541         8
       0.3375     2.60669        24
       0.3875     1.38376         8
       0.4125     2.27816        16
       0.4375     1.92982        16
       0.4625     2.64990         8
       0.4875     1.58638        16
       0.5125     1.85450        16
       0.5375     2.44582        28
       0.5625     1.44668        16
       0.5875     1.59509        16
       0.6125     1.99543         8
       0.6375     1.15963         8
       0.6875     1.49327        44
       0.7125     1.32445         8
       0.7375     1.80582         8
       0.7625     1.11944         8
       0.7875     1.56745        24
       0.8125     1.12085        16
       0.8375     1.26286        24
       0.8625     1.58046        16
       0.8875     1.62300        36
       0.9375     1.17831        32
       0.9625     1.16316        16
       0.9875     1.40116        12
       1.0125     1.07415         8
       1.0375     1.21984        32
       1.0625     1.19160        16
       1.0875     1.02268         8
       1.1125     1.15501        40
       1.1375     1.30050        24
       1.1625     1.20554        28
       1.1875     1.07616        16
       1.2125     1.05016        36
       1.2375     1.11815         8
       1.2625     1.10013        16
       1.2875     1.05595        32
       1.3125     1.10557        24
       1.3375     1.02248        24
       1.3625     1.09573        44
       1.3875     1.05037        16
       1.4125     1.01922        24
       1.4375     1.03144        28
       1.4625     1.04876        24
       1.4875     1.02778        24
       1.5125     1.04464        40
       1.5375     1.02497        44
       1.5625     1.01470         8
       1.5875     1.02282        24
       1.6125     1.00848        40
       1.6375     1.03411        28
       1.6625     1.01207        44
       1.6875     1.01245        16
       1.7125     1.00530        40
       1.7375     1.01260        16
       1.7625     1.01068        40
       1.7875     1.00844        56
       1.8125     1.00634        24
       1.8375     1.00465        24
       1.8625     1.00450        48
       1.8875     1.00888        44
       1.9125     1.00433        32
       1.9375     1.00434        20
       1.9625     1.00426        48
       1.9875     1.00418        60
       2.0125     1.00427        16
       2.0375     1.00405        40
       2.0625     1.00417        60
       2.0875     1.00427        20
       2.1125     1.00396        48
       2.1375     1.00415        60
       2.1625     1.00407        44
       2.1875     1.00421        40
NODE i01j10k04                  18.73003
       0.0125     2.51208       124
       0.0375     1.91646        16
       0.0625     1.48032         8
       0.1125     2.19286         8
       0.1625     1.49358         8
       0.1875     1.73345        16
       0.2375     1.66466        16
       0.2625     1.25885         8
       0.2875     1.54097        16
       0.3125     1.50628         8
       0.3375     1.85235         8
       0.3625     1.24502         8
       0.3875     1.58938         8
       0.4125     1.30853        36
       0.4875     1.50639        24
       0.5125     1.25441        24
       0.5375     1.09452         8
       0.5625     1.51504        16
       0.5875     1.15417         8
       0.6125     1.30510        24
       0.6375     1.24341        16
       0.6625     1.06546        20
       0.6875     1.18315        24
       0.7125     1.35076        24
       0.7375     1.24034        16
       0.7625     1.15910        40
       0.7875     1.41007         8
       0.8125     1.25136        32
       0.8375     1.14011        40
       0.8625     1.27168        48
       0.8875     1.12498        24
       0.9125     1.12845        32
       0.9375     1.03482        32
       0.9625     1.13707        32
       0.9875     1.15083        24
       1.0125     1.08462        72
       1.0375     1.09509        24
       1.0625     1.04951        32
       1.0875     1.04956        32
       1.1125     1.06951        48
       1.1375     1.11759        44
       1.1625     1.02078        52
       1.1875     1.04861        24
       1.2125     1.03019        56
       1.2375     1.04403        68
       1.2625     1.01736        32
       1.2875     1.01686        52
       1.3125     1.01603        56
       1.3375     1.01536        60
       1.3625     1.01242        48
       1.3875     1.00966        60
       1.4125     1.00937        60
       1.4375     1.00779        64
       1.4625     1.00882        80
       1.4875     1.00556        48
       1.5125     1.00613        92
       1.5375     1.00480        76
       1.5625     1.00412        92
       1.5875     1.00413        92
       1.6125     1.00382        84
       1.6375     1.00378       104
       1.6625     1.00374       116
       1.6875     1.00380       136
       1.7125     1.00402       144
       1.7375     1.00455       140
       1.7625     1.00581       168
       1.7875     1.00933       164
       1.8125     1.01674       148
       1.8375     1.02902        96
       1.8625     1.04280        80
       1.8875     1.05365         9
NODE i01j11k01                  16.52234
       0.0125     5.36530        84
       0.1625     5.55162         8
       0.1875     2.59775        16
       0.2625     2.37621         8
       0.2875     3.64016         8
       0.3375     1.55047         8
       0.3625     4.14613         8
       0.4625     2.41998         8
       0.4875     1.62334         8
       0.5125     2.81330        24
       0.6125     1.31481         8
       0.6375     2.93379         8
       0.6625     1.59533        16
       0.6875     2.33810         8
       0.7125     1.40950         8
       0.7375     2.12564        16
       0.8125     2.44010         8
       0.8375     1.61780        16
       0.8625     1.72599         8
       0.8875     1.70823        16
       0.9125     1.43669        28
       0.9375     2.17558         8
       0.9625     1.83528        12
       1.0125     1.34172        16
       1.0625     1.69460         8
       1.0875     1.19948        24
       1.1125     1.04093         8
       1.1375     1.43111         8
       1.1625     1.59458         8
       1.1875     1.09266         8
       1.2375     1.24305        24
       1.2625     1.19552        16
       1.2875     1.24741        16
       1.3375     1.43532         8
       1.3625     1.23753        32
       1.3875     1.39369        20
       1.4125     1.03148         8
       1.4375     1.24217         8
       1.4625     1.08298        16
       1.4875     1.02991        16
       1.5125     1.14735        16
       1.5625     1.07319        16
       1.5875     1.18638         8
       1.6125     1.03902        24
       1.6375     1.08773        16
       1.6625     1.10265        20
       1.6875     1.14940         8
       1.7125     1.14340        20
       1.7375     1.05460        24
       1.7625     1.00903         8
       1.7875     1.07683         8
       1.8125     1.00479        24
       1.8375     1.02552        24
       1.8875     1.03863        24
       1.9125     1.05901         8
       1.9375     1.01709        32
       1.9625     1.03357        28
       2.0125     1.01837        16
       2.0375     1.01476        16
       2.0625     1.01567        16
       2.1125     1.00641        40
       2.1375     1.01690        16
       2.1625     1.01877        16
       2.1875     1.02247        20
NODE i01j11k02                  17.31828
       0.0125     4.73836       108
       0.0375     2.33164         8
       0.0875     3.44466         8
       0.1375     1.58075         8
       0.1875     3.81065         8
       0.2375     2.02483        16
       0.2875     2.33540        16
       0.3125     3.20198         8
       0.3625     1.34767         8
       0.4125     1.23463         8
       0.4375     2.41457        16
       0.4625     1.89409        16
       0.4875     1.65380         8
       0.5375     2.54127         8
       0.5625     1.23000         8
       0.5875     1.91751        16
       0.6125     2.35692         8
       0.6375     1.31879        28
       0.6625     2.22694         8
       0.7125     2.00317        16
       0.7375     1.60511        24
       0.7625     2.04338        12
       0.7875     1.37122         8
       0.8125     1.23568        24
       0.8375     1.05641         8
       0.8625     1.48601         8
       0.8875     1.63212         8
       0.9125     1.11630         8
       0.9375     1.23453        16
       0.9625     1.39805        24
       0.9875     1.03567         8
       1.0125     1.50229        12
       1.0375     1.08729         8
       1.0625     1.28306        32
       1.1125     1.23869        16
       1.1375     1.39829        36
       1.1625     1.06820        24
       1.1875     1.10941         8
       1.2125     1.25057         8
       1.2375     1.09590        16
       1.2625     1.22293         8
       1.2875     1.05340        24
       1.3125     1.01127        20
       1.3375     1.13358         8
       1.3625     1.10808        16
       1.3875     1.09505        32
       1.4125     1.16493        24
       1.4375     1.00753        12
       1.4625     1.04218        32
       1.4875     1.03542         8
       1.5125     1.05221        16
       1.5375     1.05277         8
       1.5625     1.02429        32
       1.5875     1.00643        20
       1.6125     1.06022        16
       1.6375     1.06949        28
       1.6625     1.02102        32
       1.7125     1.01337        32
       1.7375     1.01470        24
       1.7875     1.01996        24
       1.8125     1.01245        40
       1.8375     1.01781        32
       1.8625     1.00422         8
       1.8875     1.01139        24
       1.9125     1.00999        16
       1.9375     1.01096        24
       1.9625     1.00565        32
       1.9875     1.01324        28
       2.0125     1.00396         8
       2.0375     1.00559        32
       2.0625     1.00389        20
       2.0875     1.00555        32
       2.1125     1.00635        16
       2.1375     1.00833        36
       2.1625     1.00434        32
       2.1875     1.00473         8
NODE i01j11k03                  17.87987
       0.0125     3.66278        96
       0.1375     2.33976        16
       0.1625     3.42872         8
       0.1875     1.56229         8
       0.2125     2.08159        16
       0.3125     2.88222        24
       0.3375     1.51668         8
       0.3875     1.80150        16
       0.4125     2.23238        16
       0.4625     2.31976        16
       0.4875     2.87803         8
       0.5125     1.36806         8
       0.5375     2.21231        16
       0.5625     1.88502        16
       0.5875     1.89119        16
       0.6125     1.90293         8
       0.6375     1.81331        16
       0.6625     2.36389        36
       0.6875     1.58064         8
       0.7125     1.56923        16
       0.7375     1.55269        16
       0.7875     1.09691         8
       0.8125     1.47280        36
       0.8375     1.31118         8
       0.8625     1.77119         8
       0.8875     1.11568         8
       0.9125     1.54500        24
       0.9375     1.16716        24
       0.9625     1.35747        16
       0.9875     1.55728        16
       1.0125     1.59823        36
       1.0375     1.20906        24
       1.0625     1.04980         8
       1.0875     1.03120        20
       1.1125     1.22896        16
       1.1375     1.17587        24
       1.1625     1.14406        16
       1.1875     1.17656        16
       1.2125     1.15035        40
       1.2375     1.19584        16
       1.2625     1.28419        28
       1.2875     1.16459        16
       1.3125     1.04921        24
       1.3375     1.01160        20
       1.3625     1.11502        24
       1.3875     1.06841        24
       1.4125     1.05886        16
       1.4375     1.07610        32
       1.4625     1.09315        52
       1.4875     1.01282         8
       1.5125     1.05342        24
       1.5375     1.01959        36
       1.5625     1.06152        16
       1.5875     1.04135        16
       1.6125     1.02820        40
       1.6375     1.06543        36
       1.6625     1.02047        32
       1.6875     1.02240        16
       1.7125     1.01409        40
       1.7375     1.02151        28
       1.7625     1.03221        40
       1.7875     1.00852        28
       1.8125     1.00585        40
       1.8375     1.01307        16
       1.8625     1.01419        32
       1.8875     1.00752        64
       1.9125     1.00716        24
       1.9375     1.00538        24
       1.9625     1.00440        40
       1.9875     1.00927        52
       2.0125     1.00471        32
       2.0375     1.00372        20
       2.0625     1.00498        40
       2.0875     1.00425        68
       2.1125     1.00433        16
       2.1375     1.00422        40
       2.1625     1.00421        64
       2.1875     1.00401        16
NODE i01j11k04                  18.66500
       0.0125     2.61545       104
       0.0375     2.19887         8
       0.1375     1.96650        16
       0.1875     1.71923        24
       0.2625     2.09181         8
       0.2875     1.45310         8
       0.3125     1.67428        16
       0.3375     1.30616         8
       0.3625     1.91951         8
       0.3875     1.24023         8
       0.4125     1.50055        16
       0.4375     1.46903         8
       0.4625     1.78937         8
       0.4875     1.22694         8
       0.5125     1.28686        24
       0.5375     1.39220        20
       0.5875     1.17750         8
       0.6125     1.54300        16
       0.6375     1.17701        32
       0.6625     1.55128         8
       0.6875     1.27968        16
       0.7125     1.24516        16
       0.7375     1.36796        24
       0.7625     1.06043        20
       0.7875     1.17433        24
       0.8125     1.33097        24
       0.8375     1.04551         8
       0.8625     1.18760        48
       0.8875     1.38979         8
       0.9125     1.23886        32
       0.9375     1.13451        40
       0.9625     1.25903        48
       0.9875     1.10023        32
       1.0125     1.16660        24
       1.0375     1.04760        40
       1.0625     1.15482        24
       1.0875     1.14531        40
       1.1125     1.06452        64
       1.1375     1.05853        16
       1.1625     1.07242        48
       1.1875     1.01594        32
       1.2125     1.06781        48
       1.2375     1.07759        52
       1.2625     1.03187        44
       1.2875     1.02969        40
       1.3125     1.02860        48
       1.3375     1.04228        60
       1.3625     1.01056        52
       1.3875     1.02581        40
       1.4125     1.02498        68
       1.4375     1.01227        48
       1.4625     1.00907        68
       1.4875     1.01418        68
       1.5125     1.00574        56
       1.5375     1.00863        96
       1.5625     1.00504        48
       1.5875     1.00580        92
       1.6125     1.00446        76
       1.6375     1.00412        92
       1.6625     1.00405       100
       1.6875     1.00390        92
       1.7125     1.00396       104
       1.7375     1.00403       136
       1.7625     1.00420       116
       1.7875     1.00461       156
       1.8125     1.00574       168
       1.8375     1.00888       172
       1.8625     1.01692       144
       1.8875     1.03129       116
       1.9125     1.05147        88
       1.9375     1.07389        68
       1.9625     1.08946        21
NODE i01j11k05                  19.30123
       0.0125     2.05545        72
       0.0625     1.58840         8
       0.1125     1.56685        16
       0.1875     1.46962         8
       0.2125     1.56145         8
       0.2375     1.35493         8
       0.2625     1.30040         8
       0.2875     1.43675        16
       0.3125     1.28112         8
       0.3625     1.33154        28
       0.4125     1.30652        16
       0.4375     1.23041        16
       0.4625     1.13917         8
       0.4875     1.25669        24
       0.5125     1.13798         8
       0.5375     1.17403        36
       0.5875     1.15478        40
       0.6125     1.16913        16
       0.6375     1.14129        24
       0.6625     1.06881        28
       0.6875     1.15573        32
       0.7125     1.11511        32
       0.7375     1.11992        40
       0.7625     1.07882        40
       0.7875     1.07303        52
       0.8125     1.13896        56
       0.8375     1.09594        72
       0.8625     1.10935        88
       0.8875     1.06210        56
       0.9125     1.07157       112
       0.9375     1.03106        72
       0.9625     1.03609       120
       0.9875     1.03298        96
       1.0125     1.02167       132
       1.0375     1.01379       116
       1.0625     1.00888       156
       1.0875     1.00842       152
       1.1125     1.00618       216
       1.1375     1.00415       204
       1.1625     1.00400       256
       1.1875     1.00399       284
       1.2125     1.00480       324
       1.2375     1.00922       244
       1.2625     1.02034       156
       1.2875     1.03541        96
       1.3125     1.05411        76
       1.3375     1.06597        21
NODE i01j12k01                  16.67529
       0.0125     4.50004        92
       0.1625     4.66002         8
       0.1875     2.35757        16
       0.2375     2.18450         8
       0.2875     3.22139         8
       0.3125     1.48183         8
       0.3625     3.64333         8
       0.4375     1.88823        16
       0.4875     2.17708        16
       0.5125     3.05916         8
       0.5625     1.27920         8
       0.6125     1.93458        16
       0.6375     1.87497         8
       0.6625     1.77000        16
       0.6875     1.54450         8
       0.7125     2.44621         8
       0.7625     1.17877         8
       0.7875     2.28089         8
       0.8125     1.78465        16
       0.8375     1.09718        20
       0.8625     1.32027        16
       0.8875     2.07461        16
       0.9125     1.74974        12
       0.9625     1.30780        16
       1.0125     1.34400        16
       1.0375     1.17941        24
       1.0875     1.38851         8
       1.1125     1.53952         8
       1.1375     1.08538         8
       1.1625     1.21966         8
       1.1875     1.13081        24
       1.2125     1.31423         8
       1.2375     1.02465        20
       1.2625     1.39762         8
       1.2875     1.17215        24
       1.3125     1.36427        24
       1.3625     1.02931         8
       1.3875     1.11907        16
       1.4125     1.04687        24
       1.4375     1.07597         8
       1.4625     1.19254         8
       1.4875     1.06763        16
       1.5125     1.17092         8
       1.5375     1.02506        16
       1.5625     1.06079        24
       1.5875     1.09467        20
       1.6125     1.13750         8
       1.6375     1.04892        28
       1.6625     1.05508        16
       1.6875     1.01106         8
       1.7125     1.03887        16
       1.7375     1.01436        24
       1.7625     1.04424        16
       1.8125     1.03484        24
       1.8375     1.05498         8
       1.8625     1.01577        32
       1.8875     1.03017        32
       1.9375     1.01782        24
       1.9625     1.01027         8
       1.9875     1.01462        16
       2.0125     1.01064        16
       2.0375     1.00715        24
       2.0625     1.01509        16
       2.0875     1.02006        36
       2.1375     1.00777        32
       2.1625     1.00510        12
       2.1875     1.01243         8
NODE i01j12k02                  17.27750
       0.0125     3.87050       100
       0.0625     3.91254         8
       0.1625     1.83238         8
       0.1875     2.66972         8
       0.2125     4.03141         8
       0.2375     2.10906         8
       0.2875     2.25022        16
       0.3625     3.29977         8
       0.3875     3.87190        12
       0.4125     1.86507        16
       0.4375     1.77500         8
       0.4625     2.48781         8
       0.5125     2.07237        16
       0.5625     1.20093         8
       0.5875     1.87724         8
       0.6125     2.15268        24
       0.6375     1.56553         8
       0.6875     2.32782         8
       0.7125     1.20171         8
       0.7375     1.79955        16
       0.7625     1.64735        16
       0.7875     1.27790        20
       0.8375     2.07095         8
       0.8625     1.88169        16
       0.8875     1.53139        24
       0.9125     1.91878        12
       0.9375     1.20810        24
       0.9625     1.35056        16
       0.9875     1.42882         8
       1.0375     1.33481        16
       1.0625     1.20732        16
       1.0875     1.27664        16
       1.1125     1.19364        16
       1.1625     1.26660        16
       1.1875     1.25338        32
       1.2375     1.21562        16
       1.2625     1.36198        36
       1.2875     1.06189        24
       1.3125     1.09843         8
       1.3375     1.22641         8
       1.3625     1.08659        16
       1.3875     1.10961        16
       1.4125     1.05039        24
       1.4375     1.12150        20
       1.4625     1.02361         8
       1.4875     1.11860        16
       1.5125     1.07290        32
       1.5375     1.15073        20
       1.5625     1.00777        24
       1.5875     1.03432        24
       1.6125     1.08417         8
       1.6375     1.03006        16
       1.6625     1.04236        16
       1.6875     1.01596        36
       1.7125     1.05555        16
       1.7375     1.03830        16
       1.7625     1.03835        36
       1.7875     1.00554         8
       1.8125     1.01378        32
       1.8375     1.01198        24
       1.8875     1.01983        24
       1.9125     1.01090        40
       1.9375     1.01838        32
       1.9625     1.00471         8
       1.9875     1.00981        24
       2.0125     1.01053        16
       2.0375     1.00644        32
       2.0625     1.00722        24
       2.0875     1.01398        36
       2.1125     1.00566        16
       2.1375     1.00451        24
       2.1625     1.00644        28
       2.1875     1.00596        16
NODE i01j12k03                  18.02437
       0.0125     3.14671       112
       0.1125     1.65246         8
       0.1375     2.57319         8
       0.1625     2.23023        16
       0.1875     2.05206        24
       0.2875     3.06047         8
       0.3125     2.20804        24
       0.3625     1.56442        24
       0.3875     2.79067        12
       0.4375     2.12950        16
       0.4625     2.59573         8
       0.4875     1.31565         8
       0.5125     1.63206        24
       0.5375     1.64403        16
       0.5625     2.06841        16
       0.5875     1.70755        16
       0.6125     2.08847        16
       0.6375     1.50778        28
       0.6625     1.49966        16
       0.6875     1.48616        16
       0.7375     1.08695        12
       0.7625     1.48914        32
       0.7875     1.27438         8
       0.8125     1.39503        16
       0.8375     1.48817         8
       0.8625     1.24852        32
       0.8875     1.22380        24
       0.9125     1.50220        16
       0.9375     1.29739        24
       0.9625     1.54495        12
       0.9875     1.15330        32
       1.0125     1.02844        20
       1.0375     1.20837        16
       1.0625     1.15723         8
       1.0875     1.16307        32
       1.1125     1.16231        16
       1.1375     1.13570        40
       1.1625     1.17934        16
       1.1875     1.26271        28
