! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 2089 nodes measured, 0 not measured, 26072617 pixels
! 26072617 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.725     19.70    0.0350         52    0.9517    0.9779    1.0899
    20.725     19.70    0.0750         80    1.0324    1.2312    1.4486
    20.725     19.70    0.1500         70    1.3537    1.7513    2.9707
    20.725     19.90   -0.1500       1468    0.8774    0.9015    0.9138
    20.725     19.90   -0.0750        640    0.8774    0.9138    0.9263
    20.725     19.90   -0.0350         52    0.8894    0.9138    0.9263
    20.725     19.90   -0.0100         36    0.8894    0.9138    0.9263
    20.725     19.90    0.0100         24    0.9015    0.9138    0.9263
    20.725     19.90    0.0350         28    0.9263    0.9517    1.0048
    20.725     19.90    0.0750         28    1.0607    1.0899    1.1506
    20.725     19.90    0.1500         20    1.2480    1.4884    1.9255
    20.725     20.10   -0.1500        200    0.9138    0.9263    0.9389
    20.725     20.10   -0.0750       2528    0.9263    0.9389    0.9647
    20.725     20.10   -0.0350        548    0.9263    0.9517    0.9779
    20.725     20.10    0.0100         44    0.9647    0.9779    0.9779
    20.725     20.10    0.1500        104    0.9912    0.9912    0.9912
    20.725     20.30   -0.0750        524    0.9517    0.9647    0.9779
    20.725     20.30   -0.0350       2856    0.9779    0.9912    1.0048
    20.725     20.30   -0.0100        884    0.9912    1.0048    1.0185
    20.725     20.30    0.0100        648    1.0048    1.0048    1.0185
    20.725     20.50   -0.0350        436    0.9912    0.9912    1.0048
    20.725     20.50   -0.0100      71092    1.0048    1.0048    1.0048
    20.725     20.50    0.0100     116825    1.0048    1.0048    1.0048
    20.725     20.50    0.0350        220    1.0048    1.0048    1.0048
    20.725     20.70   -0.0100      31800    1.0048    1.0048    1.0048
    20.725     20.70    0.0100      43112    1.0048    1.0048    1.0048
    20.775     18.70   -0.1500         48    0.6601    0.6783    0.6875
    20.775     18.70   -0.0750         32    0.6691    0.6691    0.6783
    20.775     18.70   -0.0350         24    0.7258    0.7357    0.7662
    20.775     18.70    0.0100         20    0.8656    0.9389    1.0464
    20.775     18.90   -0.6000        172    0.6969    0.7064    0.7357
    20.775     18.90   -0.1500        252    0.6875    0.6875    0.7160
    20.775     18.90   -0.0750        128    0.6783    0.7064    0.7357
    20.775     18.90   -0.0350         84    0.7160    0.7357    0.7767
    20.775     18.90   -0.0100         40    0.7767    0.8089    0.8199
    20.775     18.90    0.0100         60    0.8540    0.9015    0.9517
    20.775     18.90    0.0350         32    1.0752    1.1198    1.1506
    20.775     18.90    0.0750         64    1.4099    1.7994    2.0886
    20.775     18.90    0.1500         41    2.0327    3.4019    3.6900
    20.775     19.10   -0.6000        260    0.7160    0.7457    0.7980
    20.775     19.10   -0.1500        400    0.6969    0.7258    0.7873
    20.775     19.10   -0.0750        196    0.6969    0.7160    0.7873
    20.775     19.10   -0.0350        124    0.7258    0.7258    0.7873
    20.775     19.10   -0.0100         84    0.7873    0.8199    0.8425
    20.775     19.10    0.0100         72    0.8540    0.8656    0.9263
    20.775     19.10    0.0350         84    0.9517    1.1047    1.2823
    20.775     19.10    0.0750         76    1.2823    1.5713    2.2049
    20.775     19.10    0.1500         72    1.8740    2.5249    3.6403
    20.775     19.30   -0.6000        304    0.7873    0.8089    0.8311
    20.775     19.30   -0.1500        408    0.7767    0.8199    0.8425
    20.775     19.30   -0.0750         40    0.7559    0.7767    0.8656
    20.775     19.30   -0.0350         36    0.8199    0.8199    0.8311
    20.775     19.30    0.0350         36    0.9138    0.9517    1.0185
    20.775     19.30    0.0750         72    1.0464    1.1663    1.3722
    20.775     19.30    0.1500         60    1.4099    1.7994    2.9707
    20.775     19.50   -0.6000         52    0.8089    0.8311    0.8425
    20.775     19.50   -0.1500        720    0.8425    0.8656    0.8774
    20.775     19.50   -0.0750         84    0.8311    0.8540    0.8774
    20.775     19.50   -0.0350         36    0.8656    0.9015    0.9015
    20.775     19.50   -0.0100         24    0.8774    0.8774    0.9015
    20.775     19.50    0.0100         32    0.8656    0.8894    0.9138
    20.775     19.50    0.0750         20    1.0464    1.1198    1.1663
    20.775     19.50    0.1500         37    1.1822    1.5087    1.5713
    20.775     19.70   -0.1500        796    0.8774    0.9015    0.9263
    20.775     19.70   -0.0750        436    0.8894    0.9138    0.9389
    20.775     19.70   -0.0350         88    0.8774    0.9015    0.9263
    20.775     19.70    0.0350         40    0.9389    0.9779    0.9912
    20.775     19.90   -0.1500        188    0.9263    0.9263    0.9389
    20.775     19.90   -0.0750       1344    0.9389    0.9517    0.9779
    20.775     19.90   -0.0350        216    0.9389    0.9517    0.9779
    20.775     19.90   -0.0100         60    0.9389    0.9389    0.9647
    20.775     19.90    0.0100         24    0.9389    0.9647    0.9647
    20.775     19.90    0.0750        204    0.9912    0.9912    1.0048
    20.775     19.90    0.1500        204    1.0048    1.0048    1.0048
    20.775     20.10   -0.0750        364    0.9517    0.9779    0.9912
    20.775     20.10   -0.0350       1992    0.9779    0.9912    1.0048
    20.775     20.10   -0.0100        852    1.0048    1.0185    1.0185
    20.775     20.10    0.0100        124    1.0048    1.0185    1.0185
    20.775     20.10    0.0350         32    0.9912    1.0048    1.0185
    20.775     20.10    0.0750         36    0.9912    0.9912    0.9912
    20.775     20.10    0.1500        196    0.9912    1.0048    1.0048
    20.775     20.30   -0.0350        508    1.0048    1.0048    1.0048
    20.775     20.30   -0.0100      47268    1.0048    1.0048    1.0048
    20.775     20.30    0.0100      55856    1.0048    1.0048    1.0048
    20.775     20.30    0.0350        860    1.0048    1.0048    1.0185
