# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.2376165E+26
# TOTAL STDEV:  4.4646868E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
   85   2.5200000E+02  0.0000000E+00  4.0920330E+21  9.4128313E+17  5.6289824E-02
   86   2.5500000E+02  0.0000000E+00  4.0886410E+21  1.0455177E+18  6.2299858E-02
   87   2.5800000E+02  0.0000000E+00  4.0849871E+21  1.0841354E+18  7.0071833E-02
   88   2.6100000E+02  0.0000000E+00  4.0812836E+21  1.0824541E+18  7.6441612E-02
   89   2.6400000E+02  0.0000000E+00  4.0777619E+21  9.4201309E+17  7.6441612E-02
   90   2.6700000E+02  0.0000000E+00  4.0744230E+21  9.4848173E+17  7.6441612E-02
   91   2.7000000E+02  0.0000000E+00  4.0715373E+21  7.2541043E+17  7.5534655E-02
   92   2.7300000E+02  0.0000000E+00  4.0692105E+21  6.0721976E+17  7.2491749E-02
   93   2.7600000E+02  0.0000000E+00  4.0672918E+21  5.0604630E+17  6.3409793E-02
   94   2.7900000E+02  0.0000000E+00  4.0656597E+21  4.4570468E+17  5.1733216E-02
   95   2.8200000E+02  0.0000000E+00  4.0641673E+21  4.3013726E+17  4.3155020E-02
   96   2.8500000E+02  0.0000000E+00  4.0627388E+21  3.9937907E+17  3.7123948E-02
   97   2.8800000E+02  0.0000000E+00  4.0613006E+21  4.2206543E+17  3.4328047E-02
   98   2.9100000E+02  0.0000000E+00  4.0597529E+21  4.7448465E+17  3.4328047E-02
   99   2.9400000E+02  0.0000000E+00  4.0581037E+21  4.9495180E+17  3.6780916E-02
  100   2.9700000E+02  0.0000000E+00  4.0563248E+21  5.5996668E+17  3.9614896E-02
  101   3.0000000E+02  0.0000000E+00  4.0543896E+21  5.7083392E+17  4.3186961E-02
  102   3.0300000E+02  0.0000000E+00  4.0522321E+21  6.8464155E+17  4.7482940E-02
  103   3.0600000E+02  0.0000000E+00  4.0498557E+21  7.1677783E+17  5.3492139E-02
  104   3.0900000E+02  0.0000000E+00  4.0474083E+21  7.1183605E+17  5.9540772E-02
  105   3.1200000E+02  0.0000000E+00  4.0449101E+21  7.4663725E+17  6.1960364E-02
