ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_peak_scale,R_exc_scale,R_int_scale
90,1,18,13,3.75e+20,0.0820891,0.0572357,0.8352,5.18,26.1863,785.588,78.5588,42,0.887733,0.859738,0.945038,0.964711,0.955238,0.956937
91,1,18,14,3.75e+20,0.0820891,0.0731778,0.7346,3.625,33.3518,1000.55,100.055,54,0.942061,0.91822,0.979316,0.994209,0.98841,0.961658
92,1,18,15,3.75e+20,0.0820891,0.0935603,0.6438,2.602,42.8935,1286.8,128.68,72,0.973664,0.954375,0.989158,0.998654,1.00086,1.00428
93,1,18,16,3.75e+20,0.0820891,0.11962,0.5765,2.051,53.084,1592.52,159.252,90,0.987549,0.971415,0.986225,1.00054,1.00099,1.01069
94,1,19,1,3.75e+20,0.121819,0.003,19.3367,38.038,7.51162,225.349,27,18,0.15056,0.128685,0.190627,0.253708,0.238661,0.406004
95,1,19,2,3.75e+20,0.121819,0.0038356,13.0653,38.488,6.80135,204.041,27,18,0.153601,0.129401,0.192362,0.230903,0.210103,0.291981
96,1,19,3,3.75e+20,0.121819,0.00490394,9.3152,38.508,6.3855,191.565,27,18,0.145679,0.119325,0.175521,0.270167,0.242175,0.314453
97,1,19,4,3.75e+20,0.121819,0.00626986,6.7931,38.092,6.25896,187.769,27,18,0.153876,0.126321,0.182902,0.290368,0.256638,0.311718
98,1,19,5,3.75e+20,0.121819,0.00801622,5.1783,37.214,6.43719,193.115,27,18,0.167512,0.138896,0.195707,0.321752,0.289044,0.357866
99,1,19,6,3.75e+20,0.121819,0.010249,4.0195,35.71,6.93508,208.052,27,18,0.232308,0.204191,0.271497,0.337948,0.316489,0.415925
100,1,19,7,3.75e+20,0.121819,0.0131037,3.1722,33.392,7.79531,233.859,27,18,0.254524,0.224569,0.278072,0.443778,0.428136,0.626752
101,1,19,8,3.75e+20,0.121819,0.0167535,2.5248,29.978,9.11562,273.468,27.3468,18,0.295591,0.262076,0.319066,0.46426,0.432902,0.437166
102,1,19,9,3.75e+20,0.121819,0.02142,2.0344,25.477,10.9663,328.99,32.899,24,0.390258,0.360503,0.470094,0.552912,0.531242,0.611907
103,1,19,10,3.75e+20,0.121819,0.0273861,1.6576,20.219,13.4549,403.648,40.3648,24,0.495383,0.466898,0.582555,0.643648,0.601509,0.672905
104,1,19,11,3.75e+20,0.121819,0.0350141,1.3641,14.942,16.7245,501.736,50.1735,30,0.6201,0.592029,0.725185,0.761148,0.739563,0.821177
105,1,19,12,3.75e+20,0.121819,0.0447667,1.1693,10.385,21.0785,632.354,63.2354,36,0.742508,0.714433,0.829361,0.857977,0.841009,0.814609
106,1,19,13,3.75e+20,0.121819,0.0572357,1.0238,7.041,26.7183,801.549,80.1549,42,0.842455,0.815614,0.90544,0.954626,0.946154,0.835054
107,1,19,14,3.75e+20,0.121819,0.0731778,0.8959,4.767,34.1098,1023.29,102.329,60,0.913417,0.889191,0.95683,0.998841,0.999582,0.960363
108,1,19,15,3.75e+20,0.121819,0.0935603,0.793,3.405,42.8258,1284.77,128.477,72,0.955279,0.934773,0.977263,1.00337,1.00305,0.982917
109,1,19,16,3.75e+20,0.121819,0.11962,0.7015,2.516,54.0218,1620.65,162.065,90,0.979094,0.962334,0.984397,1.00242,1.00706,0.989832
110,1,19,17,3.75e+20,0.121819,0.152938,0.6148,1.915,69.5598,2086.8,208.68,120,0.991624,0.977607,0.978209,0.997558,0.993089,0.989371
