! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 333 nodes measured, 0 not measured, 2503144 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    21.175     22.70    0.0350        124    1.0237    1.0376    1.0376
    21.175     22.70    0.0750         64    1.0518    1.0518    1.0518
    21.175     22.90   -0.0100       2684    1.0237    1.0376    1.0376
    21.175     22.90    0.0100        752    1.0376    1.0376    1.0376
    21.175     22.90    0.0750         52    1.0376    1.0376    1.0518
    21.175     23.10   -0.0100        848    1.0376    1.0376    1.0376
    21.175     23.10    0.0100       1264    1.0376    1.0376    1.0376
    21.225     20.50    0.0350         28    1.1722    1.2544    1.3064
    21.225     20.70    0.0350         24    1.1104    1.1255    1.2544
    21.225     20.90   -0.0750        144    0.9061    0.9185    0.9310
    21.225     20.90   -0.0350        164    0.9061    0.9829    0.9829
    21.225     20.90   -0.0100         32    0.9437    0.9437    0.9566
    21.225     20.90    0.0100         60    0.9566    1.0237    1.0518
    21.225     20.90    0.0350         32    1.1104    1.1882    1.3243
    21.225     21.10   -0.0750        156    0.9310    0.9437    0.9437
    21.225     21.10   -0.0350        844    0.9310    0.9829    0.9963
    21.225     21.10   -0.0100        680    1.0376    1.0376    1.0376
    21.225     21.10    0.0100       1516    1.0376    1.0376    1.0376
    21.225     21.10    0.0350         80    1.0518    1.0661    1.2715
    21.225     21.30   -0.0750         84    0.9185    0.9566    0.9566
    21.225     21.30   -0.0350        412    0.9437    0.9829    0.9829
    21.225     21.30   -0.0100      20080    1.0376    1.0376    1.0376
    21.225     21.30    0.0100      29016    1.0376    1.0376    1.0376
    21.225     21.30    0.0350         24    1.1564    1.1722    1.2209
    21.225     21.50   -0.0100      24700    1.0237    1.0376    1.0376
    21.225     21.50    0.0100      22317    1.0376    1.0376    1.0376
    21.225     21.50    0.0750         20    1.0807    1.0807    1.0954
    21.225     21.90   -0.0100        204    1.0376    1.0518    1.0518
    21.225     21.90    0.0100        208    1.0376    1.0518    1.0518
    21.225     21.90    0.0350         32    1.0518    1.0518    1.0518
    21.225     22.10   -0.0100       1236    1.0376    1.0376    1.0518
    21.225     22.10    0.0100       2644    1.0376    1.0376    1.0518
    21.225     22.10    0.0350         56    1.0518    1.0518    1.0518
    21.225     22.10    0.0750         20    1.0661    1.0661    1.0661
    21.225     22.10    0.1500         21    1.0518    1.0518    1.0518
    21.225     22.30   -0.0100       3712    1.0376    1.0376    1.0518
    21.225     22.30    0.0100       2068    1.0376    1.0376    1.0518
    21.225     22.30    0.0350         80    1.0376    1.0376    1.0518
    21.225     22.30    0.0750         52    1.0661    1.0661    1.0661
    21.225     22.30    0.1500         24    1.0518    1.0518    1.0518
    21.225     22.50   -0.0100       1628    1.0376    1.0376    1.0518
    21.225     22.50    0.0100       1484    1.0376    1.0518    1.0518
    21.225     22.50    0.0350         36    1.0376    1.0376    1.0376
    21.225     22.50    0.0750         52    1.0518    1.0518    1.0518
    21.225     22.70   -0.0100        896    1.0376    1.0518    1.0518
    21.225     22.70    0.0100        168    1.0376    1.0376    1.0518
    21.275     20.30    0.0750         20    1.7842    1.8836    2.6431
    21.275     20.50   -0.0750        108    0.9185    0.9185    0.9310
    21.275     20.50    0.0350         40    1.0518    1.1882    1.5371
    21.275     20.50    0.0750         36    1.2375    1.2889    1.9885
    21.275     20.70   -0.0750         56    0.9061    0.9185    0.9310
    21.275     20.70   -0.0350        232    1.0099    1.0237    1.0237
    21.275     20.70   -0.0100        100    0.9697    1.0376    1.0518
    21.275     20.70    0.0100         60    0.9697    1.0099    1.0518
    21.275     20.70    0.0350         20    1.2889    1.3423    1.5794
    21.275     20.70    0.0750         29    1.1882    1.7365    1.8582
    21.275     20.90   -0.0350        364    0.9963    0.9963    1.0099
    21.275     20.90   -0.0100       5472    1.0376    1.0376    1.0518
    21.275     20.90    0.0100       7497    1.0376    1.0376    1.0518
    21.275     20.90    0.0350         56    1.0518    1.0518    1.0661
    21.275     20.90    0.0750         28    1.0661    1.0807    1.1722
    21.275     21.10   -0.0100      13300    1.0376    1.0376    1.0376
    21.275     21.10    0.0100      10168    1.0376    1.0376    1.0376
    21.275     21.30    0.0100         28    1.0237    1.0807    1.0807
    21.275     21.50   -0.0100        164    1.0518    1.0518    1.0518
    21.275     21.50    0.0100        736    1.0518    1.0661    1.0807
    21.275     21.50    0.0750         32    1.0661    1.0661    1.0954
    21.275     21.70   -0.0100       1484    1.0518    1.0518    1.0518
    21.275     21.70    0.0100       2024    1.0518    1.0518    1.0661
    21.275     21.70    0.0350         60    0.9829    1.0661    1.0661
    21.275     21.70    0.0750         80    1.0661    1.0807    1.0807
    21.275     21.90   -0.0100       3216    1.0376    1.0518    1.0661
    21.275     21.90    0.0100       1692    1.0518    1.0518    1.0661
    21.275     21.90    0.0350         92    1.0518    1.0518    1.0661
    21.275     21.90    0.0750         68    1.0661    1.0661    1.0661
    21.275     22.10   -0.0100       1916    1.0518    1.0518    1.0661
    21.275     22.10    0.0100        424    1.0518    1.0518    1.0518
    21.275     22.10    0.0350         60    1.0376    1.0376    1.0376
    21.275     22.10    0.0750         24    1.0661    1.0661    1.0661
    21.275     22.30   -0.0100        660    1.0518    1.0518    1.0518
    21.325     19.70    0.1500         24    1.8332    1.8582    2.0156
    21.325     19.90    0.0100         52    0.9566    0.9697    0.9963
    21.325     19.90    0.0750         28    1.4171    1.6009    1.6901
    21.325     19.90    0.1500         29    1.4759    1.9093    3.5611
    21.325     20.10   -0.0350         60    0.9437    0.9437    0.9566
    21.325     20.10   -0.0100         48    0.9061    0.9185    1.0376
    21.325     20.10    0.0100         36    0.9061    0.9185    0.9310
    21.325     20.10    0.0750         32    1.1564    1.3243    2.4367
    21.325     20.30   -0.0750         32    0.9185    0.9310    0.9310
    21.325     20.30   -0.0350         24    0.9310    0.9310    0.9697
    21.325     20.30   -0.0100         24    1.0661    1.0661    1.0661
    21.325     20.30    0.0100         28    1.0376    1.0518    1.0661
    21.325     20.30    0.1500         32    1.0807    1.0954    1.3980
    21.325     20.50   -0.0350         84    1.0376    1.0376    1.0518
    21.325     20.50   -0.0100       3400    1.0518    1.0518    1.0518
    21.325     20.50    0.0100       1377    1.0518    1.0518    1.0518
    21.325     20.50    0.0350         36    0.9697    1.0954    1.0954
    21.325     20.50    0.0750         52    1.0661    1.0661    1.0807
    21.325     20.50    0.1500         52    1.0807    1.0807    1.0807
    21.325     20.70   -0.0350        112    1.0237    1.0376    1.0376
    21.325     20.70   -0.0100       5864    1.0518    1.0518    1.0518
    21.325     20.70    0.0100       5012    1.0518    1.0518    1.0518
    21.325     20.70    0.0350         40    1.0661    1.0661    1.0954
    21.325     20.70    0.0750         36    1.0661    1.0661    1.1104
    21.325     20.70    0.1500         60    1.0661    1.0661    1.0807
    21.325     20.90   -0.0100       3400    1.0376    1.0376    1.0376
    21.325     20.90    0.0100        188    1.0518    1.0518    1.0807
