! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 334 nodes measured, 0 not measured, 4152706 pixels
! 4152706 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.925     20.90   -0.0350         28    0.8774    0.8774    0.8894
    20.925     20.90   -0.0100         32    0.8774    0.8774    0.8774
    20.925     20.90    0.0100         56    0.9015    0.9263    0.9647
    20.925     21.10   -0.1500        116    0.9015    0.9015    0.9138
    20.925     21.10   -0.0750        600    0.9015    0.9263    0.9389
    20.925     21.10   -0.0350        108    0.9015    0.9138    0.9517
    20.925     21.10   -0.0100         72    0.9015    0.9263    0.9517
    20.925     21.10    0.0100         64    0.9263    0.9263    0.9517
    20.925     21.10    0.0350         28    1.0752    1.1351    1.1506
    20.925     21.10    0.0750         24    1.2312    1.5928    1.7751
    20.925     21.30   -0.1500        168    0.9263    0.9389    0.9389
    20.925     21.30   -0.0750        820    0.9263    0.9517    0.9647
    20.925     21.30   -0.0350       1936    0.9647    0.9779    0.9912
    20.925     21.30   -0.0100        452    0.9389    1.0185    1.0185
    20.925     21.30    0.0100         80    0.9263    1.0048    1.0185
    20.925     21.30    0.0350         20    1.0324    1.0607    1.1047
    20.925     21.50   -0.0750         20    0.9517    0.9647    0.9647
    20.925     21.50   -0.0350        524    0.9647    0.9779    0.9779
    20.925     21.50   -0.0100      39196    1.0048    1.0048    1.0048
    20.925     21.50    0.0100      98696    1.0048    1.0048    1.0048
    20.925     21.70   -0.0100      20636    1.0048    1.0048    1.0048
    20.925     21.70    0.0100       1976    1.0048    1.0048    1.0048
