# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 20283 rows from 6 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.2145908   3.380571e+21   1.1699204    0.433200   1.0817455   -0.450987     0.56343        1  i05j10k01
   1.1867876   3.307658e+21   1.1695677    0.491593   1.0807379   -0.448175     0.55128        1  i05j10k01
   1.1504864   3.199338e+21   1.1640780    0.565062   1.0792552   -0.443332     0.53322        1  i05j10k01
   1.1075250   3.037651e+21   1.1493374    0.651243   1.0775377   -0.437612     0.50628        1  i05j10k01
   1.0620736   2.797435e+21   1.1205794    0.745950   1.0760061   -0.433212     0.46624        1  i05j10k01
   1.0176577   2.460695e+21   1.0725455    0.844355   1.0744614   -0.428941     0.41012        1  i05j10k01
   0.9820524   2.018673e+21   1.0002792    0.943079   1.0722300   -0.420859     0.33645        1  i05j10k01
   0.9645737   1.500749e+21   0.9018836    1.038507   1.0694824   -0.409706     0.25012        1  i05j10k01
   0.9645695   1.394437e+21   0.8794918    1.056633   1.0690017   -0.407839     0.23241        1  i05j10k01
   0.9799642   1.961925e+21   0.9903927    0.954720   1.0716251   -0.417914     0.32699        1  i05j10k01
   1.0176577   2.460695e+21   1.0725455    0.844355   1.0744614   -0.428941     0.41012        1  i05j10k01
   1.0685289   2.838976e+21   1.1261051    0.731341   1.0767898   -0.436958     0.47316        1  i05j10k01
   1.1237270   3.098555e+21   1.1558101    0.620418   1.0784503   -0.441311     0.51643        1  i05j10k01
   1.1758796   3.270064e+21   1.1683149    0.516467   1.0800784   -0.445692     0.54501        1  i05j10k01
   1.2204143   3.384977e+21   1.1696923    0.424834   1.0818562   -0.451199     0.56416        1  i05j10k01
   1.2545096   3.467372e+21   1.1649581    0.349114   1.0833829   -0.455799     0.57790        1  i05j10k01
   1.2751283   3.537603e+21   1.1580102    0.290668   1.0844350   -0.458470     0.58960        1  i05j10k01
   1.2884964   3.586658e+21   1.1514947    0.249604   1.0850906   -0.459774     0.59778        1  i05j10k01
   1.2953984   3.617552e+21   1.1469835    0.225524   1.0855601   -0.460914     0.60293        1  i05j10k01
   1.2936341   3.639012e+21   1.1453769    0.217632   1.0857473   -0.461447     0.60650        1  i05j10k01
   1.2953984   3.617552e+21   1.1469835    0.225524   1.0855601   -0.460914     0.60293        1  i05j10k01
   1.2884964   3.586658e+21   1.1514947    0.249604   1.0850906   -0.459774     0.59778        1  i05j10k01
   1.2751283   3.537603e+21   1.1580102    0.290668   1.0844350   -0.458470     0.58960        1  i05j10k01
