ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
912,4,19,17,3e+21,0.121819,0.152938,0.6167,1.114,69.6955,2090.87,209.087,120,0.925058,0.837275,0.690623,0.592532,0.493,0.427591,0.326037,0.427591,0.326037,198.632,198.632,0.924886,1.03273,1.13787,0.730854,0.812269,0.831802,0.634246,0.831802,0.634246,0.925297,1.03891,1.13787
913,4,19,18,3e+21,0.121819,0.195537,0.5494,1.073,86.7747,2603.24,260.324,150,0.926934,0.799465,0.497821,0.437056,0.280903,0.150594,0.100573,0.150594,0.100573,247.308,247.308,0.919751,1.04617,1.38744,0.571926,0.782881,1.52448,1.01811,1.52448,1.01811,0.919878,1.04992,1.38744
914,4,20,1,3e+21,0.180777,0.003,32.9073,6.719,12.4655,373.964,37.3964,18,0.241851,0.144794,0.258598,0.144134,0.25716,0.336755,0.334949,0.336755,0.334949,35.5266,35.5266,0.43685,0.378089,0.545311,0.376366,0.542279,0.480449,0.477871,0.480449,0.477871,0.664812,0.619807,0.542946
915,4,20,2,3e+21,0.180777,0.0038356,22.8634,6.932,11.3195,339.585,33.9585,18,0.252226,0.148484,0.256013,0.147759,0.25473,0.320612,0.319055,0.320612,0.319055,32.2606,32.2606,0.527081,0.481265,0.647764,0.478916,0.644517,0.570993,0.568221,0.570993,0.568221,0.796016,0.785821,0.616177
916,4,20,3,3e+21,0.180777,0.00490394,15.543,7.089,10.1725,305.174,30.5174,18,0.256497,0.147383,0.24561,0.146634,0.24456,0.294674,0.29345,0.294674,0.29345,28.9915,28.9915,0.491992,0.438432,0.666806,0.436203,0.663955,0.605007,0.602493,0.605007,0.602493,0.739869,0.714495,0.633704
917,4,20,4,3e+21,0.180777,0.00626986,10.7659,7.139,9.33531,280.059,28.0059,18,0.25492,0.140226,0.226005,0.139492,0.225202,0.259742,0.258843,0.259742,0.258843,26.6056,26.6056,0.498448,0.444971,0.12132,0.44264,0.12089,0.0912819,0.0909659,0.0912819,0.0909659,0.748272,0.725441,0.0989471
918,4,20,5,3e+21,0.180777,0.00801622,7.8273,7.068,8.94938,268.482,27,18,0.258118,0.140029,0.219257,0.139277,0.218544,0.247696,0.24691,0.247696,0.24691,25.65,25.65,0.555224,0.508256,0.61491,0.505526,0.61291,0.581686,0.579841,0.581686,0.579841,0.827723,0.823151,0.594715
919,4,20,6,3e+21,0.180777,0.010249,5.8304,6.861,9.00308,270.093,27.0092,18,0.269685,0.148389,0.226253,0.147559,0.225501,0.255241,0.254415,0.255241,0.254415,25.6588,25.6588,0.579449,0.535629,0.653323,0.532632,0.651151,0.619422,0.617418,0.619422,0.617418,0.851365,0.854689,0.633339
920,4,20,7,3e+21,0.180777,0.0131037,4.4982,6.506,9.50988,285.297,28.5297,18,0.296363,0.173027,0.255718,0.171998,0.254743,0.293405,0.292322,0.293405,0.292322,27.1032,27.1032,0.67329,0.64697,0.751125,0.643123,0.748261,0.702996,0.700403,0.702996,0.700403,0.963514,1.00348,0.724387
921,4,20,8,3e+21,0.180777,0.0167535,3.5313,5.964,10.5295,315.883,31.5884,18,0.337688,0.21209,0.29863,0.210693,0.297213,0.357412,0.355791,0.357412,0.355791,30.009,30.009,0.652314,0.616525,0.846005,0.612465,0.841992,0.752065,0.748654,0.752065,0.748654,0.896548,0.91554,0.79887
922,4,20,9,3e+21,0.180777,0.02142,2.8162,5.223,12.1594,364.782,36.4782,24,0.396325,0.266214,0.403927,0.264142,0.401487,0.445824,0.443157,0.445824,0.443157,34.6542,34.6542,0.748948,0.72861,0.870162,0.72294,0.864906,0.794595,0.789841,0.794595,0.789841,0.976597,1.02327,0.896351
923,4,20,10,3e+21,0.180777,0.0273861,2.2903,4.354,14.4673,434.018,43.4018,24,0.484432,0.349365,0.475937,0.345936,0.471815,0.545773,0.541135,0.545773,0.541135,41.2317,41.2317,0.81726,0.808252,0.970651,0.800318,0.962246,0.816042,0.809108,0.816042,0.809108,0.992307,1.04814,0.888481
924,4,20,11,3e+21,0.180777,0.0350141,1.889,3.458,17.6388,529.163,52.9163,30,0.592982,0.453544,0.598979,0.44744,0.591338,0.636577,0.628546,0.636577,0.628546,50.2705,50.2705,0.883035,0.892445,0.988024,0.880434,0.97542,0.826821,0.81639,0.826821,0.81639,0.997235,1.06419,1.00165
925,4,20,12,3e+21,0.180777,0.0447667,1.5842,2.69,21.7917,653.752,65.3752,36,0.70338,0.565769,0.689995,0.554667,0.676583,0.703747,0.690274,0.703747,0.690274,62.1064,62.1064,0.933166,0.966693,1.12319,0.947723,1.10135,0.928603,0.910826,0.928603,0.910826,0.994942,1.07335,1.131
926,4,20,13,3e+21,0.180777,0.0572357,1.343,2.104,27.2706,818.119,81.8118,48,0.795358,0.667853,0.766425,0.647755,0.743156,0.745532,0.723367,0.745532,0.723367,77.7213,77.7213,0.9538,1.00327,0.921282,0.973075,0.893312,0.746479,0.724286,0.746479,0.724286,0.98232,1.06285,0.997595
