! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE i01j01k01                  14.19464
       1.2875     0.81732         8
       1.3125     0.98349         8
       1.3875     0.95937         8
       1.4125     0.99838         8
       1.4625     0.92107         8
       1.5125     0.94207        16
       1.5875     0.99434        16
       1.6625     0.96459         8
       1.7125     0.97405        16
       1.7375     0.93091         8
       1.7625     1.00212         8
       1.7875     0.99662         8
       1.8625     0.99085         8
       1.8875     1.00230         8
       1.9125     0.98706         8
       1.9375     0.99357        16
       1.9875     1.00121         8
       2.0625     0.99999        16
       2.0875     1.00181         8
       2.1125     0.99638         8
       2.1625     0.99899        16
       2.1875     0.99680         8
NODE i01j04k02                  15.88851
       0.0125     1.00172        60
       0.1875     1.00211         8
       0.2375     1.00184        16
       0.4125     1.00198         8
       0.4625     1.00362         8
       0.4875     1.00191        12
       0.6125     1.00098         8
       0.6625     1.00349         8
       0.7125     1.00224        16
       0.8125     1.00070         8
       0.8625     1.00247         8
       0.9125     1.00323         8
       0.9375     1.00261        12
       0.9875     1.00157         8
       1.0625     1.00218         8
       1.1125     1.00225         8
       1.1375     1.00250         8
       1.1625     1.00238        16
       1.2375     1.00309         8
       1.2875     1.00201         8
       1.3375     1.00127        16
       1.3625     1.00295        12
       1.4125     1.00325         8
       1.4625     1.00293         8
       1.4875     1.00045         8
       1.5125     1.00140         8
       1.5625     1.00247        24
       1.6125     1.00091         8
       1.6375     1.00311         8
       1.6875     1.00233         8
       1.7125     1.00197         8
       1.7375     1.00193         8
       1.7625     1.00353        20
       1.7875     1.00238         8
       1.8625     1.00251        16
       1.8875     1.00074         8
       1.9125     1.00284         8
       1.9375     1.00263        16
       1.9625     1.00349         8
       1.9875     1.00151        16
       2.0125     1.00187         8
       2.0625     1.00308         8
       2.0875     1.00139        16
       2.1125     1.00328        16
       2.1375     1.00333        12
       2.1625     1.00147         8
       2.1875     1.00070         8
NODE i01j04k03                  17.50753
       0.0125     1.00278        60
       0.1625     1.00258         8
       0.1875     1.00380        16
       0.3125     1.00196         8
       0.3625     1.00379        16
       0.4875     1.00126         8
       0.5125     1.00282         8
       0.5375     1.00408         8
       0.5625     1.00460         8
       0.6125     1.00079         8
       0.6625     1.00214         8
       0.7125     1.00405        16
       0.7625     1.00057         8
       0.8125     1.00171         8
       0.8625     1.00349        16
       0.8875     1.00266        16
       0.9375     1.00151         8
       0.9875     1.00250         8
       1.0125     1.00203        16
       1.0375     1.00433        12
       1.0625     1.00147         8
       1.1125     1.00150        16
       1.1625     1.00312         8
       1.1875     1.00380        24
       1.2375     1.00155        16
       1.2875     1.00232        16
       1.3125     1.00214        16
       1.3375     1.00385        12
       1.3625     1.00241         8
       1.3875     1.00178         8
       1.4125     1.00186        16
       1.4375     1.00336         8
       1.4625     1.00351        24
       1.4875     1.00118        16
