! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 333 nodes measured, 0 not measured, 3502456 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.925     19.10    0.0750         28    1.3980    1.4171    1.6009
    20.925     19.30   -0.0750        156    0.9566    0.9566    0.9566
    20.925     19.30   -0.0350       1004    0.9697    0.9697    0.9829
    20.925     19.30   -0.0100      39432    1.0099    1.0099    1.0099
    20.925     19.30    0.0100      98832    1.0099    1.0099    1.0099
    20.925     19.50   -0.0100      20588    1.0099    1.0099    1.0099
    20.925     19.50    0.0100       1904    1.0099    1.0099    1.0099
    20.925     19.50    0.0750         24    1.0376    1.0376    1.0376
    20.925     19.70   -0.0100       1752    1.0099    1.0237    1.0237
    20.925     19.70    0.0100       5552    1.0099    1.0237    1.0237
    20.925     19.70    0.0350        228    1.0237    1.0237    1.0237
    20.925     19.70    0.0750         84    1.0237    1.0237    1.0237
    20.925     19.90   -0.0100       5296    1.0099    1.0099    1.0099
    20.925     19.90    0.0100       1712    1.0099    1.0099    1.0237
    20.925     19.90    0.0350         32    1.0237    1.0237    1.0237
    20.975     18.30    0.0750         24    1.0237    1.0807    1.1104
    20.975     18.50    0.0350         52    1.0518    1.0807    1.4960
    20.975     18.70   -0.0750        276    0.9185    0.9310    0.9437
    20.975     18.70    0.0350         40    1.0099    1.0954    1.2715
    20.975     18.90   -0.0750        364    0.9310    0.9437    0.9829
    20.975     18.90   -0.0350         24    1.0099    1.0099    1.0099
    20.975     18.90   -0.0100        372    0.9829    1.0099    1.0237
    20.975     18.90    0.0100         40    0.9566    0.9566    0.9829
    20.975     18.90    0.0350         20    0.9963    0.9963    0.9963
    20.975     19.10   -0.0750         80    0.9697    0.9829    0.9963
    20.975     19.10   -0.0350        520    0.9829    0.9963    1.0099
    20.975     19.10   -0.0100      16372    1.0099    1.0099    1.0099
    20.975     19.10    0.0100      21564    1.0099    1.0099    1.0099
    20.975     19.30   -0.0100      12584    1.0099    1.0099    1.0099
    20.975     19.30    0.0100      21477    1.0099    1.0099    1.0099
    20.975     19.30    0.0350         24    1.0237    1.0237    1.0237
    20.975     19.50   -0.0100       4084    1.0099    1.0237    1.0237
    20.975     19.50    0.0100       2265    1.0237    1.0237    1.0237
    20.975     19.50    0.0350        484    1.0237    1.0237    1.0237
    20.975     19.70   -0.0100       3880    1.0099    1.0099    1.0237
    20.975     19.70    0.0100       1280    1.0237    1.0237    1.0237
    20.975     19.70    0.0750         20    1.0237    1.0237    1.0237
    21.025     18.10    0.0350         28    1.0099    1.0376    1.4759
    21.025     18.10    0.0750         20    1.1104    2.4700    2.6792
    21.025     18.50   -0.0750        184    0.9437    0.9566    0.9697
    21.025     18.50   -0.0350         24    0.9697    0.9697    0.9697
    21.025     18.50    0.0100         20    1.0099    1.0099    1.0237
    21.025     18.50    0.1500         36    1.0099    1.0237    1.0237
    21.025     18.70   -0.0750        184    0.9310    0.9566    0.9566
    21.025     18.70   -0.0350        104    0.9437    0.9566    0.9697
    21.025     18.70   -0.0100         32    1.0237    1.0237    1.0237
    21.025     18.70    0.0100         92    1.0237    1.0237    1.0237
    21.025     18.70    0.0350         24    1.0237    1.0237    1.0237
    21.025     18.70    0.1500         40    1.0099    1.0099    1.0099
    21.025     18.90   -0.0750        124    0.9963    1.0099    1.0237
    21.025     18.90   -0.0100       7844    1.0099    1.0099    1.0237
    21.025     18.90    0.0100      11012    1.0099    1.0237    1.0237
    21.025     18.90    0.0350         52    1.0237    1.0237    1.0237
    21.025     19.10   -0.0100       5748    1.0099    1.0099    1.0099
    21.025     19.10    0.0100      12324    1.0099    1.0099    1.0099
    21.025     19.10    0.0350        184    1.0237    1.0237    1.0237
    21.025     19.10    0.1500         32    1.0518    1.0518    1.0518
    21.025     19.30   -0.0100       5148    1.0237    1.0237    1.0237
    21.025     19.30    0.0100       1412    1.0237    1.0237    1.0237
    21.025     19.30    0.0350        536    1.0237    1.0237    1.0237
    21.025     19.50   -0.0100         56    1.0237    1.0237    1.0237
    21.025     19.50    0.0100       1844    1.0237    1.0237    1.0237
    21.075     18.10   -0.0350         32    0.9310    0.9310    0.9437
    21.075     18.10    0.0100         20    0.9310    0.9437    0.9566
    21.075     18.10    0.1500         20    1.0237    1.2715    2.2771
    21.075     18.30   -0.0750        116    0.9829    0.9829    0.9963
    21.075     18.30   -0.0350         24    0.9061    0.9185    0.9185
    21.075     18.30    0.0750        116    1.0237    1.0237    1.0237
    21.075     18.30    0.1500         52    1.0237    1.0237    1.0237
    21.075     18.50   -0.0750        160    0.9566    0.9697    0.9829
    21.075     18.50   -0.0350        100    0.9829    0.9963    1.0099
    21.075     18.50   -0.0100        120    1.0099    1.0237    1.0237
    21.075     18.50    0.0100        128    1.0237    1.0237    1.0237
    21.075     18.50    0.0750         48    1.0237    1.0237    1.0518
    21.075     18.50    0.1500         88    1.0237    1.0237    1.0237
    21.075     18.70   -0.0350        148    1.0237    1.0376    1.0518
    21.075     18.70   -0.0100       5848    1.0237    1.0237    1.0237
    21.075     18.70    0.0100       8972    1.0237    1.0237    1.0237
    21.075     18.70    0.0350        252    1.0237    1.0237    1.0376
    21.075     18.90   -0.0350         36    1.0237    1.0376    1.0376
    21.075     18.90   -0.0100       8656    1.0099    1.0237    1.0376
    21.075     18.90    0.0100       2880    1.0237    1.0237    1.0237
    21.075     18.90    0.0350         76    1.0237    1.0237    1.0376
    21.075     18.90    0.1500         32    1.0518    1.0518    1.0518
    21.075     19.10   -0.0100       1824    1.0237    1.0237    1.0237
    21.075     19.10    0.0100       2880    1.0237    1.0376    1.0376
    21.075     19.10    0.0350        345    1.0237    1.0237    1.0237
