# radiative transfer cores injected into simsky2.w160
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i06j21k10       69  1070     0.2682      16.75      1.2e+22      23.67     8.79    1.305e+22
i05j21k04     1512   122     0.2683      15.40        6e+21      17.17     9.00    8.177e+21
i05j21k04      763  1677     0.2683      15.40        6e+21      17.17     9.00    7.983e+21
i05j21k04      391  1690     0.2683      15.40        6e+21      17.17     9.00     7.55e+21
i05j21k04      405    86     0.2683      15.40        6e+21      17.17     9.00     7.11e+21
i05j21k04     1082  1737     0.2683      15.40        6e+21      17.17     9.00    6.332e+21
i05j21k04     1515   341     0.2683      15.40        6e+21      17.17     9.00    7.925e+21
i05j21k04     1044   107     0.2683      15.40        6e+21      17.17     9.00    8.021e+21
i05j21k04      201    96     0.2683      15.40        6e+21      17.17     9.00    6.938e+21
i08j22k02     1137   905     0.3981      30.10      4.8e+22      18.43     7.42    4.944e+22
i08j22k02      753   450     0.3981      30.10      4.8e+22      18.43     7.42    3.791e+22
i08j22k02      795   913     0.3981      30.10      4.8e+22      18.43     7.42    5.999e+22
i08j22k02      985   808     0.3981      30.10      4.8e+22      18.43     7.42     4.11e+22
i08j22k02      758   812     0.3981      30.10      4.8e+22      18.43     7.42    3.454e+22
i08j22k02      804  1131     0.3981      30.10      4.8e+22      18.43     7.42    4.649e+22
i08j22k02     1001  1336     0.3981      30.10      4.8e+22      18.43     7.42    3.427e+22
i08j22k02      857   442     0.3981      30.10      4.8e+22      18.43     7.42    3.836e+22
i07j23k09      975   220     0.5908      28.52      2.4e+22      25.07     8.06    3.262e+22
i07j23k09     1420  1150     0.5908      28.52      2.4e+22      25.07     8.06    2.106e+22
i07j23k09      879   595     0.5908      28.52      2.4e+22      25.07     8.06    2.501e+22
i07j23k09      807  1199     0.5908      28.52      2.4e+22      25.07     8.06    2.101e+22
i07j23k09     1208  1139     0.5908      28.52      2.4e+22      25.07     8.06    3.173e+22
i07j23k09      702   701     0.5908      28.52      2.4e+22      25.07     8.06    3.006e+22
i07j23k09      696   952     0.5908      28.52      2.4e+22      25.07     8.06    2.999e+22
i07j23k09      298   706     0.5908      28.52      2.4e+22      25.07     8.06     1.76e+22
i06j24k11      427   579     0.8764      38.21      1.2e+22      33.60     8.91    1.161e+22
i06j24k11      460   501     0.8764      38.21      1.2e+22      33.60     8.91    1.493e+22
i06j24k11     1505  1614     0.8764      38.21      1.2e+22      33.60     8.91    1.319e+22
i06j24k11     1591  1503     0.8764      38.21      1.2e+22      33.60     8.91    1.076e+22
i06j24k11      420  1418     0.8764      38.21      1.2e+22      33.60     8.91    1.072e+22
i06j24k11      596   388     0.8764      38.21      1.2e+22      33.60     8.91    1.463e+22
i06j24k11     1433   987     0.8764      38.21      1.2e+22      33.60     8.91    1.271e+22
i06j24k11      106   281     0.8764      38.21      1.2e+22      33.60     8.91    1.142e+22
i05j24k05      722   114     0.8770      59.14        6e+21      20.15    10.11    8.219e+21
i05j24k05      554  1717     0.8770      59.14        6e+21      20.15    10.11    6.332e+21
i05j24k05      286    78     0.8770      59.14        6e+21      20.15    10.11    6.806e+21
i05j24k05     1184  1725     0.8770      59.14        6e+21      20.15    10.11    6.703e+21
i05j24k05      302  1668     0.8770      59.14        6e+21      20.15    10.11    8.259e+21
i05j24k05      476  1733     0.8770      59.14        6e+21      20.15    10.11    6.248e+21
i05j24k05      864  1690     0.8770      59.14        6e+21      20.15    10.11    7.293e+21
i05j24k05     1413   126     0.8770      59.14        6e+21      20.15    10.11    8.407e+21
i05j25k10      134   118     1.3014      60.30        6e+21      29.34    10.02    7.627e+21
i05j25k10     1254  1701     1.3014      60.30        6e+21      29.34    10.02    7.057e+21
i05j25k10     1702  1702     1.3014      60.30        6e+21      29.34    10.02    6.904e+21
i05j25k10      149  1717     1.3014      60.30        6e+21      29.34    10.02    6.593e+21
i05j25k10      279   330     1.3014      60.30        6e+21      29.34    10.02     8.26e+21
i05j25k10     1227    59     1.3014      60.30        6e+21      29.34    10.02    6.429e+21
i05j25k10     1637    85     1.3014      60.30        6e+21      29.34    10.02    6.816e+21
i05j25k10     1445  1724     1.3014      60.30        6e+21      29.34    10.02    6.453e+21
i06j27k14     1341   272     2.8651     119.74      1.2e+22      61.58     9.30    1.352e+22
i06j27k14     1059   317     2.8651     119.74      1.2e+22      61.58     9.30    1.056e+22
i06j27k14      904   279     2.8651     119.74      1.2e+22      61.58     9.30    1.403e+22
i06j27k14     1343   530     2.8651     119.74      1.2e+22      61.58     9.30    1.083e+22
i06j27k14       59  1224     2.8651     119.74      1.2e+22      61.58     9.30    8.571e+21
i06j27k14      366  1167     2.8651     119.74      1.2e+22      61.58     9.30    1.536e+22
i06j27k14      319  1059     2.8651     119.74      1.2e+22      61.58     9.30    1.376e+22
i06j27k14      164   410     2.8651     119.74      1.2e+22      61.58     9.30    1.534e+22
i06j28k11     1408   843     4.2533     247.53      1.2e+22      34.96     9.44    1.631e+22
i06j28k11     1571   508     4.2533     247.53      1.2e+22      34.96     9.44    1.193e+22
i06j28k11     1620   765     4.2533     247.53      1.2e+22      34.96     9.44    1.005e+22
i06j28k11      644  1418     4.2533     247.53      1.2e+22      34.96     9.44     1.18e+22
i06j28k11      704  1230     4.2533     247.53      1.2e+22      34.96     9.44    1.405e+22
i06j28k11     1238   512     4.2533     247.53      1.2e+22      34.96     9.44    1.382e+22
i06j28k11     1376  1402     4.2533     247.53      1.2e+22      34.96     9.44    1.211e+22
i06j28k11      962  1233     4.2533     247.53      1.2e+22      34.96     9.44    1.642e+22
