! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21524935 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.975     18.30    0.0750         28    1.3243    1.3792    1.4171
    20.975     18.30    0.1500         74    1.7602    2.4039    3.9155
    20.975     18.50    0.0750         36    1.0807    1.1255    1.2044
    20.975     18.50    0.1500         45    1.3980    1.6673    2.1279
    20.975     18.70   -0.1500        144    0.9061    0.9185    0.9310
    20.975     18.70   -0.0750        168    0.9061    0.9185    0.9310
    20.975     18.70   -0.0350         32    0.9185    0.9185    0.9566
    20.975     18.70   -0.0100         44    0.9185    0.9437    0.9697
    20.975     18.70    0.0100        480    0.9963    0.9963    1.0099
    20.975     18.70    0.0350        268    0.9963    0.9963    1.0099
    20.975     18.70    0.0750        104    1.0099    1.0237    1.0237
    20.975     18.70    0.1500         53    1.1409    1.2044    1.3064
    20.975     18.90   -0.1500        136    0.9061    0.9185    0.9310
    20.975     18.90   -0.0750        488    0.9437    0.9697    0.9829
    20.975     18.90   -0.0350        136    0.9566    0.9697    0.9829
    20.975     18.90   -0.0100         36    0.9697    0.9963    0.9963
    20.975     18.90    0.0100        284    0.9963    1.0099    1.0099
    20.975     18.90    0.0350        864    0.9963    1.0099    1.0099
    20.975     18.90    0.0750        404    1.0099    1.0099    1.0099
    20.975     18.90    0.1500         36    1.0807    1.1255    1.2209
    20.975     19.10   -0.0750        372    0.9566    0.9697    0.9963
    20.975     19.10   -0.0350        908    0.9963    1.0099    1.0237
    20.975     19.10   -0.0100        224    0.9963    1.0237    1.0237
    20.975     19.10    0.0100         84    1.0099    1.0237    1.0237
    20.975     19.10    0.0350         88    1.0099    1.0099    1.0099
    20.975     19.10    0.0750        296    1.0099    1.0099    1.0099
    20.975     19.30   -0.0750         44    0.9963    0.9963    1.0099
    20.975     19.30   -0.0350        584    1.0099    1.0237    1.0237
    20.975     19.30   -0.0100      24168    1.0099    1.0099    1.0237
    20.975     19.30    0.0100      18273    1.0237    1.0237    1.0237
    20.975     19.30    0.0350       1132    1.0237    1.0237    1.0237
    20.975     19.30    0.0750         88    1.0237    1.0237    1.0376
    20.975     19.50   -0.0100      36224    1.0099    1.0099    1.0099
    20.975     19.50    0.0100      32765    1.0099    1.0099    1.0237
    20.975     19.50    0.0350       1426    1.0099    1.0237    1.0237
    20.975     19.50    0.0750         96    1.0237    1.0237    1.0237
    21.025     17.70    0.0100         92    0.9061    0.9185    0.9697
    21.025     17.70    0.0350         28    1.0376    1.1409    1.1882
    21.025     17.70    0.0750         68    1.5581    1.7842    1.9353
    21.025     17.70    0.1500         41    2.0431    3.0267    3.6589
    21.025     17.90    0.0350         28    1.0237    1.0661    1.0954
    21.025     17.90    0.0750         40    1.3607    1.5794    1.6009
    21.025     17.90    0.1500         76    2.0993    2.7528    3.4193
    21.025     18.10    0.0750         20    1.1564    1.2715    1.3064
    21.025     18.10    0.1500         32    1.3243    1.6009    2.5378
    21.025     18.30   -0.0750       4032    0.9566    0.9697    0.9697
    21.025     18.30   -0.0350       4080    0.9566    0.9697    0.9829
    21.025     18.30   -0.0100        916    0.9437    0.9566    0.9697
    21.025     18.30    0.0100        372    0.9566    0.9697    0.9829
    21.025     18.30    0.0350        172    1.0237    1.0661    1.1409
    21.025     18.30    0.0750         56    1.0518    1.1722    1.3607
    21.025     18.30    0.1500         61    1.2044    1.3243    1.7842
    21.025     18.50   -0.1500        100    0.9061    0.9185    0.9310
    21.025     18.50   -0.0750       8660    0.9829    0.9829    0.9963
    21.025     18.50   -0.0350      43532    0.9829    0.9963    1.0099
    21.025     18.50   -0.0100     307032    1.0099    1.0099    1.0099
    21.025     18.50    0.0100     369544    1.0099    1.0099    1.0099
    21.025     18.50    0.0350        516    0.9963    1.0237    1.0661
    21.025     18.50    0.0750        201    1.0807    1.1255    1.2044
    21.025     18.70   -0.1500         44    0.9310    0.9437    0.9566
    21.025     18.70   -0.0750        268    0.9437    0.9566    1.0099
    21.025     18.70   -0.0350        208    0.9829    0.9963    1.0237
    21.025     18.70   -0.0100        932    0.9963    0.9963    1.0099
    21.025     18.70    0.0100       1596    0.9829    0.9963    1.0099
    21.025     18.70    0.0350        372    0.9829    0.9963    1.0099
    21.025     18.70    0.0750        164    1.0237    1.0376    1.0661
    21.025     18.90   -0.0750        396    0.9829    0.9963    1.0099
    21.025     18.90   -0.0350        388    0.9963    1.0237    1.0376
    21.025     18.90   -0.0100        504    1.0237    1.0376    1.0376
    21.025     18.90    0.0100        200    1.0237    1.0237    1.0376
    21.025     18.90    0.0350         88    1.0237    1.0376    1.0376
    21.025     18.90    0.1500         24    1.0518    1.0661    1.0807
    21.025     19.10   -0.0350        312    1.0237    1.0237    1.0237
    21.025     19.10   -0.0100      28860    1.0237    1.0237    1.0237
    21.025     19.10    0.0100      15064    1.0237    1.0237    1.0237
    21.025     19.10    0.0350       1306    1.0237    1.0237    1.0237
    21.025     19.10    0.0750        272    1.0237    1.0237    1.0376
    21.025     19.10    0.1500         32    1.0376    1.0376    1.0376
    21.025     19.30   -0.0100      25672    1.0099    1.0237    1.0237
    21.025     19.30    0.0100      14765    1.0237    1.0237    1.0237
    21.025     19.30    0.0350        912    1.0237    1.0237    1.0237
