! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21559607 pixels
! 21559607 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.875     19.50   -0.0100        172    0.9517    0.9779    1.0048
    20.875     19.50    0.0100         52    0.9517    0.9647    0.9779
    20.875     19.70   -0.0750         76    0.9779    0.9779    0.9912
    20.875     19.70   -0.0350       1656    0.9779    0.9912    1.0048
    20.875     19.70   -0.0100      28596    1.0048    1.0048    1.0048
    20.875     19.70    0.0100      34996    1.0048    1.0048    1.0185
    20.875     19.70    0.0350        392    1.0048    1.0185    1.0185
    20.875     19.90   -0.0100      65160    1.0048    1.0048    1.0048
    20.875     19.90    0.0100      91454    1.0048    1.0048    1.0048
    20.875     19.90    0.0350        636    1.0048    1.0048    1.0185
    20.925     18.30   -0.1500        148    0.7064    0.7357    0.7559
    20.925     18.30   -0.0750        128    0.7064    0.7064    0.7357
    20.925     18.30   -0.0350         84    0.7457    0.7559    0.7873
    20.925     18.30   -0.0100         44    0.7980    0.8425    0.8540
    20.925     18.30    0.0100         24    0.8656    0.8894    0.9389
    20.925     18.30    0.0350         44    1.0324    1.0324    1.1198
    20.925     18.30    0.0750         48    1.2147    1.6589    1.9255
    20.925     18.50   -0.1500        452    0.7160    0.7457    0.7980
    20.925     18.50   -0.0750        224    0.7064    0.7160    0.7662
    20.925     18.50   -0.0350        180    0.7357    0.7457    0.7767
    20.925     18.50   -0.0100         64    0.8089    0.8199    0.8540
    20.925     18.50    0.0100         96    0.9015    0.9015    0.9779
    20.925     18.50    0.0350         88    0.9912    1.0899    1.4884
    20.925     18.50    0.0750        100    1.2312    1.6815    1.9784
    20.925     18.50    0.1500         34    2.0605    3.1362    3.3561
    20.925     18.70   -0.1500        540    0.7873    0.8089    0.8540
    20.925     18.70   -0.0750        120    0.7873    0.7980    0.8656
