# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    1.166566e-03   3.616000e+21      1.31195       15.240
    4.298156e-01   7.112000e+21      1.38934       44.200
    1.615978e-01   5.259000e+21      1.51055       24.710
    2.030256e-03   2.416000e+21      1.15915       20.770
    7.617915e-02   2.917000e+21      1.54885       30.150
    6.531438e-01   8.437000e+21      1.75987       24.200
    2.077992e-01   1.620000e+22      1.61710       23.520
    2.168689e-01   6.050000e+21      1.23934       65.420
    1.975596e-01   4.933000e+21      1.30874       38.290
    3.313400e-01   3.972000e+21      1.54985       34.220
    4.091618e-01   7.381000e+21      1.61821       35.380
    5.088763e-02   4.304000e+22      1.43216       14.660
    1.938311e+00   5.138000e+22      2.22460       16.150
    4.528315e-02   6.188000e+21      1.37815       29.450
    2.444084e-01   6.474000e+21      1.29209       53.040
    6.886300e-01   1.635000e+22      1.79388       25.600
    6.351894e-01   1.678000e+22      1.91180       31.570
    1.888493e-03   2.026000e+21      1.21150       14.410
    4.482550e-01   1.184000e+22      1.74139       33.300
    2.225499e-01   6.506000e+21      1.29235       65.780
    3.117594e-01   1.256000e+22      1.92436       18.900
    2.943482e-01   7.259000e+21      1.32263       49.850
    1.274994e-01   2.986000e+21      1.72940       29.310
    1.025408e-02   2.472000e+21      1.17739       14.310
    1.534469e-01   8.268000e+21      1.22146       51.000
    7.991045e-02   1.507000e+22      1.40843       18.590
    5.076013e-01   8.429000e+21      1.72749       24.140
    2.189143e-03   3.510000e+21      1.22869       14.400
    2.322806e-01   5.106000e+21      1.44516       44.070
