node_key,M_BE_Msun,M_reported_Msun,M_corrected_3axis_Msun,M_corrected_4axis_Msun,theta_BE_arcsec,bounded_3axis,bounded_4axis
212008,0.894462,0.8051297471046373,1.0500903827042396,0.9209004209655324,53.38,0,0
212009,0.893346,0.6607714963692627,0.8929405386089513,0.8532099554967901,78.15,0,0
212010,0.89457,0.6035134815685946,0.8094017534891841,0.8648320351710043,120.83,0,0
213004,1.37335,1.038181411339859,1.4443637260678575,1.4001082886520126,88.37,0,0
213005,1.37352,1.0693660674126328,1.534994998873874,1.3675232987539294,71.93,0,0
213006,1.37304,1.105280746687145,1.5816496342669177,1.3768911965359842,57.99,0,0
213007,1.37298,1.0777145618141601,1.577565002204921,1.324845494801966,54.59,0,0
213008,1.37357,1.2330903485851286,1.873691821854067,1.517164466379282,63.01,0,0
213009,1.3734,1.165258803524602,1.6318003216156824,1.5156648900920215,84.92,0,0
213010,1.37222,1.0172343668611523,1.3759171826185115,1.5013978142855569,126.88,0,0
214005,2.10893,1.187147374941276,1.6588572975434899,1.9119772589952564,124.92,0,0
214006,2.10859,1.3793897143249283,1.879259822551549,1.993098271522666,100.32,0,0
214007,2.10918,1.6482672421461826,2.38023449122778,2.170804229623301,82.61,0,0
214008,2.10886,1.7386258167808928,2.6041294695929187,2.2695359750624626,81.88,0,0
214009,2.10895,1.8687261064501821,2.8376014569659795,2.3772635028061306,98.43,0,0
214010,2.10784,1.5719074973875027,2.26829052022285,2.2700488657762805,136.43,0,0
215006,3.23806,1.5437956221688427,2.142557275286014,3.1462005150315373,172.04,0,0
215007,3.23846,1.8029381921240717,2.428991340237308,3.188003081230644,140.58,0,0
215008,3.2382,2.370915262958786,3.533151246452019,3.410609385269733,119.68,0,0
215009,3.23641,2.476694583456349,3.76206417160323,3.429955820021465,124.57,0,0
215010,3.23796,2.7618731677321797,4.294914037515521,4.112186820197597,155.05,0,0
216007,4.9717,2.0027742667646975,2.6274659051525715,6.032945521514961,244.93,0,0
216008,4.97112,2.452633654268498,3.6296021080471523,4.299009514038075,197.35,0,0
216009,4.97057,3.15282396247243,4.756201891597042,4.804789666717325,176.60,0,0
216010,4.97242,3.7647388664503487,5.685728837095839,6.521416465764341,192.55,0,0
217007,7.6338,2.0833856218399447,2.959694053666362,7.100543610626537,398.08,0,0
217008,7.63489,2.608837302524451,3.6960918018668356,8.138116612243765,339.84,0,0
217009,7.63228,3.30604758065373,4.913639509895769,7.078675154460433,281.83,0,0
217010,7.63034,4.739943753533702,7.127358491702577,9.909558990224316,264.62,0,0
218008,11.7221,2.514262316670677,3.667292133621791,9.822327795386048,577.27,0,0
218009,11.7221,3.394256444200787,5.011991061888356,10.303983144271415,486.70,0,0
218010,11.7215,4.880203088101821,7.277824170331146,13.607673424691834,411.27,0,0
219009,17.9934,3.3161898270068093,4.831069032577762,14.165796246534098,830.21,0,0
219010,17.996,4.901693495424568,7.226814014966286,19.996899477623057,704.43,0,0
220010,27.6324,4.585132669173463,6.682510032450321,23.44305385605417,1203.10,0,0
302004,0.0122699,0.010351446456228219,0.013417853140912747,0.011440742184295903,5.99,0,0
303004,0.0188234,0.01714033542441871,0.021758327402952835,0.019211976605313343,6.11,0,0
303005,0.0188406,0.01612306688159163,0.017290313113463948,0.01840559262165209,9.88,0,0
304004,0.0289525,0.025302225141690105,0.03173410943528704,0.028388802204303454,6.24,0,0
304005,0.0289319,0.02594274110438882,0.0276773526491438,0.029632608620359595,9.89,0,0
304006,0.0289616,0.02206933632724533,0.03266522010146812,0.025363948289167857,16.01,0,0
305004,0.0444409,0.039083654640593476,0.04868205022207137,0.04400148768607523,6.44,0,0
305005,0.0443978,0.040379885738629454,0.059194201142185286,0.04539707590501556,10.10,0,0
305006,0.044458,0.03630480056145399,0.053718860918530315,0.041919290483161356,16.19,0,0
306004,0.0682774,0.06358628976737644,0.08964586762744392,0.07112005331565534,6.84,0,0
306005,0.0682595,0.06378804832624997,0.07311207308740496,0.07384050475191575,10.42,0,0
306006,0.0682181,0.057591894779519336,0.08482859552653337,0.06667438204674163,16.48,0,0
306007,0.0682684,0.04788904395296422,0.06674790164936648,0.05537979518513995,26.74,0,0
307004,0.104807,0.09732297684533252,0.12915347530908142,0.11001462993301954,7.62,0,0
307005,0.104741,0.09709045772633894,0.14603722436220337,0.10944004056145636,11.00,0,0
307006,0.104704,0.09102061298043605,0.13716476635569647,0.10580370726407738,16.93,0,0
307007,0.104704,0.08626331309369928,0.12174780342820296,0.10197337233299206,26.84,0,0
308001,0.16096,0.14313180941984452,0.18096189780130117,0.1624366418140904,10.88,0,0
308002,0.160954,0.1430696079157413,0.20072597382769705,0.1608923603713492,8.93,0,0
308003,0.160949,0.1473995130166399,0.20156514563714992,0.1660040457125943,8.23,0,0
308004,0.160891,0.14634744765983584,0.20828803414172528,0.16441595358329608,9.18,0,0
308005,0.160923,0.14792448735248193,0.21294240102904874,0.1686548353413689,12.07,0,0
308006,0.16075,0.14074580432613212,0.20747692646826849,0.16434798626505778,17.78,0,0
308007,0.160812,0.1365880943810991,0.19607870412071868,0.16206054915419066,27.53,0,0
309001,0.24708,0.20872240866594707,0.3129319300304719,0.2442388158961508,18.10,0,0
309002,0.247083,0.2248083061864028,0.31751780011536496,0.2603149916330019,15.39,0,0
309003,0.247075,0.21382156907141273,0.29320354628239537,0.24386946200662973,12.75,0,0
309004,0.247181,0.21947032654475973,0.2467472539889775,0.25164013720302525,12.21,0,0
309005,0.246977,0.21962371130007044,0.3075783619688433,0.2530478673494868,14.19,0,0
